stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.06,7.24,0,0,24.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.81,0,0,0,0,0,13.77,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,50.37,14.04,0,0,34.68,0,3.81,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,2.04,14.63,2.02,0,4.79,0,0,0,0,1.9,0,0,0,0,0,0,0,0,7.37,0,0,0.81,55.07,0,0,0,1.74,0,1.79,0,1.04,0,1.83,5.24,22,0,0,0.97,0,0
 24-34,0,0.9,1.2,9.97,0,0,7.91,0,1.53,0.72,3.27,1.49,0,0,0,1.03,0,0,0,3.28,13.94,1.09,0,4.65,138.14,0,2.44,3.18,0,0,5.3,0,0,4.75,4.46,10.45,37.78,0,0,2.62,0,0
 36-46,0,0,0,2.34,0.6,0,14.15,0,0,0.87,9.33,0.61,0,0,0,0.63,0.74,0,0,3.05,24.97,0,0,6.21,236.42,5.49,2.81,0.72,0,0,4.22,0,0,5.13,13.49,0.91,44.99,0,0,0,0,5.9
 48-58,0,0,0,6.03,0,0,20.38,4.99,2.55,1.71,20.93,0,0,0,0,0,0,0.4,0,4.13,15.08,0.41,0,4.52,160.93,0,1.24,4.49,0,0,0.38,0,0,2.22,3.18,0,26.71,0,0.61,2.39,0,1.29
 60-70,0,0.62,0,3.07,0,0,45.23,5.89,1.83,0,15.21,0,0,0.95,0,0,0,0,1.05,1.43,41.02,0,0.98,5.85,172.47,0,3.35,0.63,0,0,4.09,0,0,0,0.67,0,24.37,0,1.31,3.83,0,0
 72-82,0,3.05,0,8.08,1.13,0,106.97,1.9,0,0.8,13.66,0,0,0.86,0,0,0,0,0.49,0,48.34,0,0.7,6.14,182.41,0.52,3.83,0.78,0,0,3.15,1.65,0,0,0,0,28.13,0,4.12,5.45,0,0
 84-94,0,3.04,0,12.12,0,0,56.82,7.05,0,0.7,13.03,4.05,0.6,0,0,0,3.25,0,3.81,0,14.25,0,0,0.64,93.41,0,2.17,9.15,0,0,7.16,0,0,0.67,0,0,23.57,0,0,1.89,4.73,0
 96-106,0,6.35,0,2.09,1.53,0,121.44,2.37,0,2.31,10.89,2.23,0,3.36,0,0,0,1.01,2.44,0,56.72,2.02,0,1.81,71.25,0,0,3.36,0,0,4.51,0,0,0,0,0,6.09,1.23,0.66,9.72,0,0
108-118,0,0.85,0,6.17,0,1.32,53.79,13.42,1.74,0.65,36.16,4.99,0,0,0.42,0,0.7,0,0.65,0.52,30.85,0,6.17,8.66,65.28,0,0.47,2.76,0,1.82,2.38,0,0,0,0.47,0,3.36,0,5.35,1.39,2.1,0
120,0,15.76,0,6.28,0,0,75.56,2.98,0,0,36.41,0,0,0,6.22,0,8.35,4.79,0,0,38.51,0,0,9.28,104.64,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0
