stage,epidermis,glial,gut,neural,notochord,otic,periderm,pgc,presomitic_mesoderm,somites,spinal_cord
 14-21,1.86,0.84,1.29,4.88,0,0.84,0,0.9,3.59,1.71,3.77
 24-34,0,0,0,0.71,0.9,0,0.61,0,0,0,0
 48-58,0,0.75,0,0,0.46,0,0,0,0,0,0
