stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,18.44,3.27,0,0,22.51,0,6.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.37,0,0,0,137.53,0,0,0,3.53,0,5.78,0,0,0,0,0,0
 14-21,0,0,0,31.62,4.21,3.88,0,0,0,0,1.88,0,0,0,0,0,0,0,0,79.73,0,0,201.26,30.42,6.41,0,2.17,1.05,0,1.89,92.68,2.31,13.51,176.07,2.73,0,0,1.17,0,0
 24-34,0,0,0.61,162.74,1.63,5.25,0.67,6.94,15.52,0,0,0,4.57,0,0,1.57,4.09,0,10.75,778.72,0.65,1.39,517.04,69.3,347.92,2.37,14.82,0,0,3.06,3.32,28.52,1.49,60.84,21.05,0,0,16.95,0,1.12
 36-46,0,0,0,176.13,0,10.52,0,18.4,72.58,11.7,0,0,0.75,1.03,0,0,6.07,0,1.24,1362.73,0,11.6,454.71,78.88,582.92,3.11,24.83,0,2.1,1.21,0,11.44,1.52,1.39,39.07,0,1.25,6.96,0,0
 48-58,0.58,0,0,125.61,0,23.68,3.19,46.02,91.54,25.6,0,0.52,0.69,0,0,0.39,3.29,0,0,1371.6,0,23.43,247.24,135.77,497.8,0,26.04,0,1.7,1.74,0,7.62,3.55,0,35.62,0,2.23,2.54,0,1.99
 60-70,9.02,0,0,139.34,0,44.11,0,57.84,120.21,20.74,0,0,0.59,0,0,0,5.46,1.2,0,1581.15,1.51,23.26,211.74,108.09,332.35,0,28.29,0,1.23,4.51,0,8.06,0.76,0,10.75,0,12.16,0.64,5.15,2.91
 72-82,0,0,0,61.58,0.55,58.1,0,38.9,119.44,15.32,2.27,0,2.04,0,0,5.22,3.34,0,0,1901.22,0.58,44.49,210.75,87.12,216.26,0,23.4,0,6.66,4.71,0,14.74,0.55,0,11.06,0,13.76,9.44,8.21,0
 84-94,0,0,0,136.76,0,76.92,1.34,66.58,115.62,22.16,0,0,2.66,4.43,0.55,0,5,0,0,1795.79,0.64,40.92,160.59,70.03,343.09,0,31.53,0,0,6.14,0,24.76,0,0,8.27,2.36,13.95,0.87,19.24,0
 96-106,0,0,0,93.82,6.94,47.83,0,39.67,111.54,19.55,0,0,3.25,3.74,5.71,0.92,1.89,7.13,0,1250.77,2.03,30.47,106.97,76.23,212.26,3.77,43.62,0,2.37,9.2,0,17.16,0,0,23.18,0,8.15,6.4,10.63,0
108-118,0.67,0,0,82.08,2.54,40.97,0,51.05,87.71,14.32,0.58,0,1.9,1.71,1.15,0,1.31,0,0,1396.84,1.15,24.48,74.93,77.3,222.47,1.02,47.87,0,0,0,0,19.3,0,0,14.18,0,5.71,4.45,29.21,0
120,0,0,0,57.02,0,37.56,0,11.75,58.03,11.01,0,0,2.09,0,5.57,0,0,10.45,0,1095.81,0,33.28,93.8,119.21,257.75,0,38.64,0,2.76,0,0,8.14,0,0,13.41,0,4.11,0,9.46,0
