stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.79,80.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.7,138.21,0,0,0,0,0,0,47.58,0,0,0,0,0,0,0,131,0,6.69,6.16,0,0,0,0,0,0,0
  7-9,7.01,0,52.67,0,0,0,0,0,225.01,0,0,0,0,0,0,0,71.89,0,5.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.35,0,0,0,187.72,0,0,0,0,0,0,0,35.63,0,9.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.45,0.93,0,0,0,18.38,0,0.81,0,4.77,0,0,0,0.99,0,0,0,1.29,2.5,0,0,0,0,0
 24-34,0,0,0,0,0.87,0,0,1.05,14.8,0,0,0,9.41,10.59,2.48,3.06,11.32,0,0,1.26,0,2.02,0,0,0.92,0,0
 36-46,0,0,0,0,0,0,0,0.96,9.72,0,0,0,4.66,95.78,2.35,0,9.68,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,19.15,0,0,0.89,12.63,0,0,1.04,0,81.7,0.98,0,20.39,0,0,0,0,2.48,0,0,0,0,0.62
 60-70,0,0,0,0,41.88,0,0,2.26,14,0,0,0,0,36.98,1.15,0,11.88,0,0,3.64,0,4.63,0,0,0,0,0
 72-82,0,0,0,0.96,63,0,0,2.71,2.32,1.15,0,0,0,19.69,1.05,0,22.3,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,115.75,0.66,2.61,0,7.36,1.33,0,0,0,61.47,4.87,0,14.65,0,0,0,0,0,0,2.79,0,1,0
 96-106,0,0,0,0,89.48,0,0,0,0,0.62,0,0.57,7.68,37.39,1.72,0,41.29,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,154.34,0,0,6.79,0,0,0,1.59,2.74,78.27,1.04,0,15.72,0,0,0,0,0,0.68,0,5.48,0,0
120,0,0,0,0,54.99,0,0,0,0,4.52,0,0,0,32.72,14.88,0,39.67,6.6,0,1.01,0,0,0,0,0,0,0
