stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1.44,3.12,0,0,2.24,0,0,0,0,0,0,0,0,0,5.18,2.27,38.37,0.86,0,2.54,0,1.91,10.99,0,0
 24-34,0,0.67,0,0,3.39,0,0,0,2.82,0,0,0,0,0.65,4.46,2.04,93.17,2.11,0,0,0,0,25.71,1.69,0
 36-46,0,1.28,0,0,35.71,0,0,0,0.75,0,0,0,0,0,1.98,1.13,198.53,0.99,0,0,0,0,23.32,0,0
 48-58,0,0,0,0,64.07,0,1.03,0,7.85,0,1.69,0,0.41,0,3.69,2.55,211.15,0.39,0,0,0,0,34.06,0,0
 60-70,0,0,0,0,81.83,1.28,0,0,9.56,0,0,1.31,0,0,0,0,177.37,1.72,6.34,0,5.54,0,40.46,0,0
 72-82,0,0.83,1.75,0,31.62,0,0,0,2.3,0,0,0,0,0,0.5,0,106.49,0.7,0,0,0,0,4.2,0,0
 84-94,0,0,0,0,47.78,0,0,0,0.63,1.22,0,0,0,0,11.65,0,35.84,0,0,0,2.23,0,17.12,0.69,1.36
 96-106,0,1.52,0,0,10.26,0,0,0,4.9,0,0.56,0,0,0,5.95,5.94,13.31,0,0,0,0,0,0,0,2.81
108-118,0,0,6.78,1.26,8.57,0,0,0.8,3.9,0,0,0,0,0,9.89,0.83,91.18,0,0,0,3.13,0,1.96,0,0
120,0,0,0,0,19.4,0,0,0,0,0,1.87,0,0,0,0,0,37.23,0,0,0,0,0,0,0,2.64
