stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,38.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.42,0,0,0,0,0,14.51,0,1.28,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,14.18,0,0.74,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,17.14,0,1.2,0,0,1.97,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,22.69,0,3.02,0,0,0,0.75,0.52,0,0,0
 60-70,0,0,0,0,1,0,0,28.9,0,7.82,0,0,0,1.09,0,0,0,0
 72-82,0,0.53,0,0.74,0,0,0,57.47,0,9.35,0,0.55,0.71,2.41,0,2.26,0,2.38
 84-94,0,0,0,0,0,0,0,70.95,0,3.63,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.88,101.88,1.31,18.82,0.68,0.75,1.6,11.75,2.54,0,5.69,2.98
108-118,0,0,5.52,0,0,2.01,0,61.42,0,27.99,0,4.59,1.69,9.73,0,0,1.46,3.65
120,0,0,0,0,0,2.33,0,138.58,0,21,0,0,0,11.71,0,0,1.9,0
