stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,pericytes,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.18,0,0,0,0,0,0,0,0,58.35,0,3.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,60.3,0,4.83,0,0,0,0,0,0,0
 14-21,0,2.44,1.2,0,0,0,0,0,0,0,0.81,0,1.01,0,0,0,1.44,1.11,0,0,0,0
 24-34,0,0,0,0,0,0,0.71,0,0,0,0,0,0.95,1.45,0,0,0,0.73,0,24.4,0,1
 36-46,0,0,0,0,0,0,0.6,0,0,0,0,0,1.75,0,0,0,0,0,0,2.86,0,0
 48-58,0,0,0,0,0,0,0,2.34,0,0,1.52,0,0,0,0,0,0,0,0,2.63,0,0
 60-70,0,1.02,0,1.99,0,0,0,0,1.88,0,4.64,0,0,0,0,0,0,0,0,1.74,0.85,5.36
 72-82,0,0,0,5.27,0,0,0,0,1.11,0,2.11,0,0,0,0,0,0,0,0.73,5.46,0.71,0
 84-94,0,0,0,0,0,0,0,0,3.59,0,3.16,0,0,0,0,4.92,0,0,0,7.89,1.49,0
 96-106,0,0,0,0,0,0.63,0,0,1.27,0.59,11.06,3.61,0,0,0,0,0,0,1.58,2.64,1.17,0
108-118,0,0,0,1.51,0,0,0,0,2.05,0,0.47,0,0,0,0,0,0,0,0,0.48,1.74,0
120,0,5.51,0,0,1.75,0,0,0,3.01,0,16.36,0,0,0,0,0,0,0,2.55,1.76,0,0
