stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.16,0,3.93,10.85,0,0,1.24,0,6.73,0,0,2.83,0,0,0,0,0
 24-34,0,0,0,0,0,10.7,0,0,0,0.94,0,0,0,0,0,0,0,0,16.36,0,2.58,157.82,0,7.41,8.04,0,8.97,1.7,0.64,28.8,0,0,0,0,0
 36-46,0,0,0,0,0,13.23,0,0,0.81,0,0,0,0,0,0,0,0,0,22.32,1.78,0,415.36,0,2.53,8.6,0,17.45,0,0,66.33,0,0,0,0,0
 48-58,0,0,0,0.55,0,41.29,0,0,0.86,1.78,0,0,0,0,0,0,0,0,26.09,0,1.48,440.57,0,1.84,2,0,2.12,0.44,0,71.5,0,0.51,0,0,0
 60-70,0,0,0,3.51,0,310.59,1.44,0,1.96,7.85,0,2.87,0,0,0,1.39,0,0,49.78,2.57,0,713.93,0,0,7.18,0,4.66,0,0,55.58,0,1.47,0.72,0.72,13.33
 72-82,0,0,0,6.93,1.56,1035.26,3.57,1.39,10.29,23.4,0,0,2.95,0,1.38,4.68,0,2.19,128.68,3.93,2.3,1058.46,0,4.27,32.73,2.94,8.61,0,0,55.33,0,3.99,3.51,4.9,7.54
 84-94,0,0,0,15.39,9.51,777.39,2.5,1.58,0,22.9,0,1.57,0,0,7.75,3.19,0,0,89.88,3.64,8.1,1012.84,0,1.53,36.31,0,0.92,0.6,0,33.43,0,4.02,1.4,21.8,0
 96-106,0,0,0,9.02,19.21,1137.07,7.05,0.7,2.49,49.17,3.19,0,1.7,0,0,8.78,0,0,100.87,7.6,7.47,930.04,0,7.18,48.14,5.91,9.48,0.57,0,40.63,0,2.29,1.38,11.14,0
108-118,0,0,0,15.38,6.19,1428.62,12.76,0,6.29,68.44,0.45,0.71,0,4.51,0,5.81,4.41,0,100.06,1.9,0,1431.97,0,0,39.26,7.12,3.4,0,0,30.07,4.22,4.35,0,5.85,0
120,0,0,0,21.19,0,1480.4,8.92,4.47,0,143.25,0,0,5.91,0,4.66,1.6,0,0,182.98,0,5.1,2229.19,3.31,14.68,40.41,0,18.7,0,0,34.08,0,6.25,7.02,9.21,0
