stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.77,284.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0,0
  5-6,0,526.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,131.22,0,0,0,0,0,0,0,0,0,0
  7-9,22.2,32.41,15.67,0,0,0,125.74,0,0,0,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0,1480.18,13.14,0,0,130.92,0,72.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,71.53,0,14.23,0,63.89,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,550.1,0,0,0,112.71,0,26.57,0,34.24,0,0,0,0,0,0,0,0
 14-21,0,0,15.03,48.59,4.55,0,7.06,0,0,0,0,0.97,2.09,2.92,0,2.09,0.96,0,40.56,1.45,12.29,0,0,2.86,39.82,7.63,0,0,0,0,100.04,0,0,0,0,26.8,0,0,0,0,0.94
 24-34,0,0,4.25,21.29,0,0,3.99,0,0.67,0,0,0,10.77,11.84,0,11.61,1.8,0,26.74,5.87,7.34,24.61,0,12.18,144.28,5.36,3.81,0,0,0,158.18,0,0.63,0.87,0,48.89,0,0,0,0,3.56
 36-46,0,0,0.56,29.92,0,0,17.56,1.31,5.75,0,15.87,0,1.01,11.05,0,2.03,1.49,0,0,11.37,12.6,10.6,0,1.18,355.21,3.48,2.44,0,0,0,169.56,0.81,2.92,0,0.61,102.71,0,0,0,0,28.93
 48-58,0,0,0,16.46,0,0,84.19,1.45,5.89,0.44,18.14,0.54,17.15,14.55,0,17.88,14.71,0,10.72,17.38,36.49,29.13,0,4.02,605.62,3.41,2.5,0.51,0,0,89.16,0,0,0,0,120.05,0,0,0.42,0,19.04
 60-70,0,0,0,34.37,0,0,316.52,0,0,9.32,18.16,3.87,3.13,17.51,0.78,1.81,10.09,0,0,12.45,29.58,26.26,0,8.6,727.06,1.12,6.91,10.94,0,3.37,144.72,0,0,0,0,93.54,4.56,0,4.89,0,0.99
 72-82,0,0,0,26.82,3.1,0,378.86,0.5,6.2,0,14.14,7.5,6.63,20.02,0,3.31,0.65,0.83,0,5.82,70.04,53.05,5.17,7.31,584.29,4.54,8.21,0.61,0,1.78,137.97,0,0,2.89,0,52.65,9.05,0.51,3.87,5.53,4.43
 84-94,0,0,0,47.36,3.92,1.06,263.82,1.66,4.81,0,24.19,11.67,4.58,5.24,2.21,7.02,1.75,0,3.5,5.09,68.35,41.35,6.13,3.37,417.51,1.44,3.69,3.25,0,0,317.59,0,0,0,0,30.9,10.28,0.64,5.83,1.16,25.57
 96-106,0,0,0,48.15,3.75,0,268.7,0,1.88,7.99,9.13,18.12,2.38,12.82,1.34,7.91,0.63,1.68,8.13,2.17,37.7,94.29,2.52,5.65,301.01,1.26,3.62,0.58,1.2,0,383.22,3.39,0,0,0,30.42,4.97,2.07,2.58,1.87,14.63
108-118,0,0,0,53.76,1.73,5.75,238.48,1.02,3.39,1.26,12.57,31.66,0,10.51,2.08,13.59,2.89,0,3.8,19.04,75.47,97.62,7.09,0,341.1,2.52,3.34,0,0,0,175.29,0,4.72,0.98,0,4.35,8.04,2.7,10.92,2.98,3.92
120,0,0,0,47.74,2.65,0,225.31,1.06,5.15,1.6,11.04,11.45,0,19.74,0,10.23,0,0,1.57,3.89,39.04,72.71,0,11.58,616.34,21.59,8.72,0,0,0,151.54,0,0,0,0,10.77,16.34,2.41,2.71,0,6.36
