stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.94,5.14,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,1.91,0,0,0,27.88,0
 24-34,0,0,8.13,0,0,0,0,0,0,0,0.75,10.72,0,0,0,5.19,0,0.94,0,0,36.16,0.63,0,0,0,0,0,0,3.14,0,0,455.03,0
 36-46,0,2.88,13.46,1.36,0,0,0.73,1.35,0,0,0,55.74,0,0,0,0,0,0,0,0,43.79,0,0,0,0,0,0.65,0,4.55,0,0,353.61,0
 48-58,0,4.59,4.47,12.12,0,0,0,0.89,0,0,2.3,56.11,0,0,0,0,11.64,8.44,0,0,62.44,30.68,0,0,0,0.66,0,0,0.77,0,0,413.68,0
 60-70,0,0.57,32.85,5.6,0,1.46,0,0,0,0,11.79,81.47,0,0,0,0,0,3.4,0,4.27,14.03,2.09,0,0,0,0,5.87,0,0,0,1.22,168.64,0
 72-82,0,6.61,5.29,18.71,0,0,0,0.55,4.41,0,1.11,116.13,0,0,0,0,0,3.63,0.64,0.71,27.29,3.46,0,1.76,0,0,2.76,0,0.64,0.74,3.54,488.44,4.77
 84-94,0,0,0,5.29,0,0,0,0,0,0,9.41,131.67,0,0,0,0,0,2.63,6.3,0,13.32,20.16,0,0,0,1.39,0.67,0,4.39,0,8.54,338.01,3.77
 96-106,0,0.72,13.96,16.12,0,0,0,4.28,0,0,0,165.29,6.23,0.75,0.83,0,0,21.27,0.85,0,29.89,0.62,2.3,1.07,2.88,4.71,10.73,0,0,0,5.02,506.68,24.27
108-118,2.6,0.45,0.44,10.53,3.29,1.96,0,4.16,0.45,0,1.49,140.38,0,0,0,0,0,12.06,0,0,11.52,0.51,0,4,2.86,0,1.69,0,0,0,0,619.02,23.31
120,0,0,45.86,0,5.69,0,9.22,9.96,0,5.2,0,612.31,0,0,0,0,0,29.27,2.47,2.53,15.18,2.48,0,0,29.45,10.2,4.56,0,3.29,0,1.56,1213.71,13.1
