stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,161.29,3757.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.05,0,0,0,0,0,0,0,0,0,0
  5-6,92.71,1307.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,0,0,0,67.19,0,0,0,0,0,0,0,0,0,0
  7-9,0,34.69,0,3.41,0,0,0,39.76,0,0,0,0,0,18.62,0,0,0,0,0,0,0,0,0,0,0,409.48,0,0,0,50.13,222.03,48.66,0,0,0,0,0,0,0,0,0
 10-12,0,21.31,0,21.39,0,0,0,62.64,0,0,0,0,0,52.38,0,0,0,0,0,0,0,0,0,0,3.87,883.7,16.87,0,0,144.56,206.5,0,0,27.01,0,0,0,0,0,0,0
 14-21,0,0,2.39,7.22,39.31,3.72,0,12.8,0,0,0,0,8.66,43.01,0,0.9,10.78,0,0,0,0,6.05,6.59,0,0,265.28,0.89,2.36,11.36,5.84,1691.93,0,9.22,9.33,18.26,17.57,68.29,0,0,0,0
 24-34,0,0,2.53,1.95,8.81,0,0,32.08,0,0.81,3.37,5.16,1.42,2.59,0,10.33,36.55,0,5.93,2.52,0,6.82,65.55,0,3.58,388.4,0,21.31,2.78,0,1375.27,0,0,9.78,2.63,7.9,56.68,0,28.22,0,0
 36-46,0,0,0,0,8.32,0.67,0,15.17,0,3.68,3.5,6.94,2.12,0,0.6,2.92,10.96,0,6.03,0,0,7.24,42.29,0,1.23,190.09,0,20.07,3,0,1099.23,0,0,3.77,0,0,17.74,0,0,0,0
 48-58,0,0,0,0,13.21,0,0,27.13,0,2.47,15.96,12.66,5.35,3.41,0,13.81,4.38,0,4.85,0,0,0.41,48.76,0,1.04,99.67,0,17.79,4.62,0,694.27,0,0,2.94,0.77,0,14.07,0,0.47,0,0
 60-70,0,0,0,0,24.19,9.11,0,16.73,0,5.56,15.84,18.91,11.71,0,0,10.31,13.42,0,7.57,6.47,8.43,12.98,35.71,1.71,0.97,48.1,0,17.38,2.27,0,455.09,0,0,1.9,0,0,5.11,0.77,2.63,0,0
 72-82,0,0,1.84,0,42.61,0,3,24.57,0,2.68,5.87,25.28,48.26,2.52,0,17.51,12.39,0,10.99,0,0,6.2,52.77,1.23,2.95,55,0,34.45,17.63,0,295.08,0,0,1.57,0,0,4.45,1.76,3.42,1.37,0
 84-94,0,0,4.52,0,106.93,8.82,6.97,25.45,0,3.35,8.7,13.24,81.55,2.88,0,28.02,27.55,0,19.5,5.19,0,14.51,62.03,0,5.8,50.94,0,25.3,31.99,0,904.46,0,0,4.58,0,0,1.73,9.04,0,3.29,0
 96-106,0,0,0,0.78,141.49,14.27,4.79,28.79,0,10.32,5.6,31.79,120.16,0,0,30.77,35.93,0,13.87,0,0,33.86,102.18,0.56,2.57,84.71,0,60.06,24.13,0,890.74,0,0,1.63,0,0,2.61,10.71,0,2.4,1.61
108-118,0,0,0,0.49,156.76,1.82,34.92,19.14,0,14.49,0.62,59.56,142.33,0,0,21.68,33.76,1.25,11.17,0,0,8.13,66.29,0.63,0.62,53.77,0,26.82,27.09,0,819.3,0,0,3.5,0,0,4.31,24.69,3.57,0,0
120,0,0,0,0,173.61,3.48,4.83,23.58,1.18,14.13,11.09,36.38,73.85,0,0,61.24,18.33,0,9.5,3.74,0,3.29,47.47,0,0,43.7,0,34.76,24.56,0,416.83,0,0,2.43,0,0,0,4.12,1.4,0,0
