stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.58,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.71,0,0,0,30.59,0,0,0,0,0,0,0,0,0
 10-12,7.39,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,92.4,5.38,0,0,31.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0.95,0,0,0,0.87,0,0,0,0,0,1.1,1.49,1.08,0,0,0,0,0,1.63,0,1.05,8.87,0,0,0
 24-34,0,0,0,0,0,2.02,8.76,0,0,0,1.4,0,0,0,0,0.63,0,0,2.47,6.42,0,1.7,0,0,0,3.48,3.59,0,0,3.89,0,0,0
 36-46,0,0,0,0,0,2.58,4.42,0,0.84,0,0,0,0,0,0,0,1.93,0,2.02,28.01,0,0,0,0,0,2.18,1.63,0,0,9.2,0,0,0
 48-58,0,0,0,0,0,10.91,3.37,0,2.1,0,0.48,0.47,0,0,4.93,0,4.61,0,1.52,21.86,0,0,0,0,0,0.52,0,0,0,4.31,0,2.74,0
 60-70,0,0,0,0,0,11.5,4.36,0,0,0,0,0,0,0,1.2,0,4.93,0,2.02,24.7,0,0,0.82,0,0,2.43,0.59,0,0,15.62,0,0,0
 72-82,0,0,0,0,0,35.51,0.49,2.05,4.69,0,0,0,0,0,0,0,16.97,0,0,39.41,1.92,1.38,0,0,0,1.21,6.69,3.15,0,1.58,0.51,0,6.08
 84-94,0,0.66,0,2.09,2.02,28.03,2.37,0,0,0.63,0,0,0,5.76,2.58,0,6.23,0,2.22,19.99,0,0,0.82,0,0,0.69,1.35,0,0,0,0,0,0
 96-106,0,0,0,0,7.24,33.21,1.15,0,0.91,0,0,0,0,0.64,0,0,13.9,2.51,2.89,18.46,0,0.59,0,0,0,3.39,0.8,5.77,0,0,0,0,0
108-118,0,0,0,0,1.14,22.66,2.09,0,6.07,0,0,0,0.58,6.87,0,0,23.41,0,2.54,22.11,0,0,0,0,0,0,1.21,0.43,0,1.12,0,0,0
120,0,0,0,0,0,10.69,2.51,11.09,14.25,0,0,2.88,0,0,0,0,11.32,0,18.25,27.43,6.15,0,3.98,0,1.79,0,0,0,0,0,0,0,0
