stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,glial,hatching.gland,iridophores,liver,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste
  3-4,415.92,9126.51,0,0,0,0,0,0,0,0,0,0,0,0,523.97,0,0,0,0
  5-6,526.43,5464.3,0,12.33,0,0,11.49,0,0,0,115.82,0,0,23.51,122.93,0,0,0,0
  7-9,37.19,107.15,0,23.9,132.92,0,3.46,0,0,0,1891.59,118.32,0,548.59,0,46.59,0,0,0
 10-12,0,0,0,9.53,3.98,0,0,0,0,0,59.43,5.03,0,23.17,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.86,2,0,0,0,1.67,0,2.01,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,1.05,0,2.13,0,0
 48-58,0,0,0,0,0,1.18,0,0,0,0,0.85,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0.81
 72-82,0,0,0,0,0,0,0,0,0,0,1.7,0.53,0,0,0,0,0.78,0,0.8
 84-94,0,0,2.65,0,0,0,0,0,0,0,0,0,0.66,0,0,0,2.26,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,3.6,0,0
108-118,0,0,0,0,0,0.64,0,0.88,0.45,0,0,0,0,0,0,0,5.26,0,0
120,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,15.44,7.24,0
