stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,14.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.21,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0
 10-12,0,0,0,4.37,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0
 14-21,0,1.85,0,1.69,0,0,0,0,0,0.87,0,0.99,0,0.9,0.82,0,0,1.23
 24-34,0,0,0,0,0,0,0,1.45,0,0,0,2.92,0,2.7,0,0,0,0
 36-46,0,0,0,7.16,0,1.06,0,1.78,0,1.09,0.56,0,0,0,0,0,0,0
 48-58,0,0,0,0.4,0,0,0,0,0,5.16,0,0.77,0,0,0,0.84,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.88,0,0
 72-82,0,0,0,0.79,0,1.12,0.51,0,0.56,0,0,10.09,1.04,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.6,0,0.57,0,0,0,0,0.68,0
 96-106,0,0,0,3.05,1.88,0,0,0,0,0,2.36,0,0,0,0,0,0,0
108-118,0,0,2.64,8.11,0,0,0,0,0.45,0.97,0,16.17,0,0,0,0,0,0
