stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,42.31,0,0,0,0,2.18,0,22.79,8.35,0,0,0,0,0
 24-34,0,0,0.63,0,4.65,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,1.59,580.09,1.05,0,0,0,0,0,27,90.27,0,0,0,0,0
 36-46,0,0,2.91,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,1325.79,1.86,0,0,2.91,0,0,1.34,170.09,0,0,0,0,0
 48-58,0,0,1.28,0,86.04,0,0,0,25.12,0,0.48,0,0,0,0,0.73,0,15.66,0,0.4,2194.71,10.68,0.91,0,1.18,0,0,0,335.41,0,0,3.78,0,0
 60-70,0,0,1.91,4.26,107.11,0,0,0.9,26.98,0,2.38,5.1,0,0.67,0,0,0,24.2,0.64,0,3133.25,0.63,1.46,0,1.71,0,0,0,587.72,0,0,2.55,0,0
 72-82,0,1.76,6.75,2.57,334.56,0,0,4.19,44.34,0,0,0.66,0,1.25,0,0,0,96.83,0,0.84,3539.81,0,4.42,0,0.73,0,0,0,468.48,1.21,4.49,0.64,0,3.96
 84-94,0,0,8.84,0,216.96,0.94,0.61,0,46.73,2.97,2.12,0,0.93,0.69,9.96,3.19,2.93,115.46,0,0,2513.04,1.25,1.98,0,3.16,0,0,0,362.61,0,1.72,2.51,0.8,0
 96-106,0,0,15,4.83,173.47,0,0,5.65,32.73,0,0,0,0,2.22,0,0,9.08,40.21,0,0,2015.74,0,1.4,0,12.43,0,0,0,98.39,0,0.87,2.1,0,0
108-118,0,0,28.06,0,142.18,0,0,0.43,41.18,0.63,0,0,0.63,1.44,0.55,0,0,66.09,0,0,2511.51,0,6.97,2.11,3.38,0,0.81,0,134.26,0,0,0,1.05,0
120,0,0,39.09,1.26,144.87,0,1.8,0,30.13,6.34,0,0,0,4.02,0,0,0,73.93,0,2.78,3947.08,0,3.34,0,1.28,0,0,0,95.34,0,0,2.66,0,0
