stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,366.23,6584.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.25,0,0,0,0,0,0,0,0,0,0
  5-6,383.97,3267.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.8,9.37,0,0,9.65,0,94.9,0,0,0,0,0,0,0,0,0,0
  7-9,23.02,43.73,0,96.29,0,0,126,0,0,0,0,0,65.84,0,0,0,0,0,0,0,0,0,0,0,1356.01,114.67,0,0,461.14,0,0,69.29,0,0,0,0,0,0,0,0,0
 10-12,0,31.7,0,299.71,0,115.64,286.99,0,0,0,0,0,20.61,0,0,0,0,0,3.73,0,0,0,0,0,6992.65,145.62,0,0,1755.01,0,0,45.06,0,179.27,0,27.88,0,0,0,0,0
 14-21,0,0,0,27.92,592.7,122.75,145.49,0,0,0,18.84,20.83,2.9,5.69,0,11.92,0,0,0.86,1.07,180.59,0,0,126.7,1664.01,37.56,0,36.72,118.23,0,0,12.08,187.42,1.08,1.95,185.5,374.75,0,55.83,0,1.69
 24-34,0.88,0,0,8.07,75.92,14.01,235.92,0,1.74,7.96,88.5,1.83,0,17.72,0,0.78,0.97,6.49,15.3,11.36,452.36,0.74,1.21,133.65,2179.15,65.37,0,29.8,0,0,7.34,0,0.71,0,2.19,52.31,641.66,0,395.95,0,5.86
 36-46,0,0,0,0.93,22.73,19.67,172.91,0,6.91,14.72,107.69,3.66,0,20.86,0.81,0.57,2.48,1.57,0,0,459.63,3.57,3.64,79.61,1013.56,49.24,3.75,12.72,0,2.1,0.67,2.22,1.05,0.74,0,0,407.6,0,325.68,0.78,7.69
 48-58,0,0,0,0,8.44,0.45,115.17,0.6,0,16.74,117.92,0.92,0,20.55,0,0,8.34,1.56,3.72,0.5,482.56,0,11.07,55.99,368.62,28,0,9.03,0,1.12,1.43,2.29,0,3.74,0,0,193.73,2.17,294.6,1.71,16.65
 60-70,0.81,0,0,0,5.68,0,57.12,0,0,11.01,108.33,1.94,0,35.8,1.09,0,18.38,0,3.18,0,613.79,1.53,7.12,27.31,159.89,10.65,0.7,5.72,0,7.38,7.66,0,0,2.63,0,0,58.83,6.47,235.78,2.77,0
 72-82,0,0,1.3,0.56,9.3,1.74,55.69,0,0,12.82,100.34,5.44,0,25.74,1.28,0,2.67,1.93,1.22,0,548.3,0,28.08,30.06,126.12,3.32,1.98,5.69,0,5.57,0,0,0,4.96,0,0,22.26,11.51,509.7,10.88,3.9
 84-94,0,0,0,0,5.66,0,89.43,0.91,3.23,14.8,49.73,7.12,0,18.06,0.69,0,6.91,0.69,0.55,0,477.6,0,21.72,15.6,84.84,12.93,3.5,8.79,0,9.06,0.55,0,0,0.74,0,0,15.18,11.55,448.2,10.47,1.26
 96-106,0,0,0.56,0,8.47,0,70.75,1.64,0,5.16,79.27,7.74,0,23.17,0.72,0,5.25,0,2.08,0,366.12,0,10.82,9.28,83.93,2.68,0.57,11.84,0,12.9,2.5,1.14,0,2.79,0,0,8.78,17.91,576.49,7.83,23.5
108-118,0.78,0,0,2.65,8.55,0,57.14,0.58,1.42,16.39,82.07,1.9,0,9.09,0.67,0.59,14.09,0,4.57,0,325.55,0,17.24,12.54,86.88,8.77,1.13,11.15,0,11.41,0.93,0,0,2.28,0,0,5.56,11.89,418.67,9.28,7.25
120,0,0,0,3.17,10.47,6.81,19.81,1.18,0,21.75,63,5.66,0,23.98,1.63,0,8.28,0,16.17,0,265.8,0,9.08,16.39,109.06,10.57,1.26,7.51,19.84,9.62,2.03,0,0,0,0,0,3.95,14.48,498.13,0,0
