stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.96,3.77,0.9,2.52,0,0,0,0,0,0,0,0,0,0,0,9.85,5.28,0,0,8.6,12.81,11.59,0,0,0,0,0,0.84,0.84,4.76,0,0,0,5.59
 24-34,0,1.01,5.23,0.61,7.97,0,12.05,2.77,0,0,0.68,0,0,0,0,0,37.25,66.74,0,0,25.72,103.3,35.53,0,1.32,0,0,0,0,9.24,30.14,0,2.31,0,25.19
 36-46,0,0,1.31,4.21,2.61,1.43,15.16,0,1.33,0,2.41,0,0,2.08,0,0,17.75,60.2,0,0.77,54.8,429.17,19.3,0,0.63,0,0,0,1.4,0,41.42,0,0,0.78,17.07
 48-58,0,0,14.13,0,49.75,5.47,28.4,42.49,0,0,0,0,0,0,0,0,8.61,148.27,0.74,4.51,41.65,987.38,11.38,0,3.33,0,2.62,0,1.61,0,105.28,0.51,0,0,19.53
 60-70,0,0,5.45,0.68,64.26,5.88,33.83,47.05,0.75,0,0.87,0,0,0.66,0,0,6.44,237,0,13.06,32.45,985.33,41.77,2.69,4.43,0.97,0,0,6.54,0,154.89,6.42,0,0.89,3.96
 72-82,0,0,10.31,0,67.94,5.29,27.78,59.51,0,0.6,1.04,0,0,0,0,0.96,3.42,179.59,0,5.99,30.47,788.88,9.26,0,6.21,1.77,0,0,0,0,95.89,2.26,5.77,14.07,10.37
 84-94,0,0,4.29,0,86.12,4.93,25.57,18.19,0.93,0,0,0,0,3.15,4.37,0,0.71,165,0,9.88,25.28,464.42,29.14,0,2.45,0.91,2.3,0,0,0,56.35,2.6,0.75,16.23,9.32
 96-106,0,0,6.1,0,44.42,15.9,8.54,31.47,1.61,0,0,1,0,0,0,9.82,6.99,113.71,0,0.92,12.45,392.57,11.49,0,9.99,0,0.96,0,1.56,0,30.86,4.85,2.55,4.89,8.64
108-118,1.72,0,1.43,0,51.29,11.89,15.45,25.66,0,0,0.61,0.99,0.55,0,0.76,0,2.57,115.52,0,14.18,10.36,401.03,15.36,0,5.3,4.36,0.93,0,0,0,19.72,0,1.07,11.03,5.34
120,0,0,10.44,0,100.92,9.75,8.03,44.98,0,0,0,0,0,0,0,0,4.02,121.75,0,5.31,29.77,688.49,41.52,0,10.14,2.76,1.35,2.43,0,0,37.31,0,0,0,0
