stage,axial,blastomeres,endoderm,glial,neural,otic,paraxial_mesoderm,spinal_cord
  5-6,13.19,27.85,0,0,0,0,0,0
  7-9,0,3.31,4.32,0,46.45,0,9.26,0
 84-94,0,0,0,5.06,0,1.26,0,0
108-118,0,0,0,0,0,0,0,0.58
