stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,137.32,4476.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.77,0,0,0,0,0,0,0,0,0
  5-6,220.57,3374.23,0,10.49,0,0,0,0,0,0,0,0,32.08,0,0,0,0,0,0,0,0,0,125.67,17.81,0,0,72.51,58.99,0,0,0,0,0,0,0,0,0
  7-9,83.16,70.76,0,57.76,0,0,0,245.2,0,0,0,0,97.22,0,0,0,0,0,0,0,0,0,1707.89,67.28,0,0,560.3,5.09,22.77,0,0,0,0,0,0,0,0
 10-12,0,19.74,0,68,0,0,0,187.12,0,0,0,0,33.59,0,0,0,0,0,0,0,0,0,1436.88,32.21,0,0,364.82,3.1,0,0,103.6,0,0,0,0,0,0
 14-21,0,0,0.8,3.66,65.2,18.77,0,28.1,0,0,10.89,2.25,0,1.92,0,3.94,0,1.15,0.99,37.75,0,29.63,459.81,13.27,1.97,1.75,4.54,11.11,0,56.18,4.77,0.84,50.86,107.46,0,3.67,0
 24-34,0,0,0,0,5.91,0.69,0,36.55,0,0,4.85,0,0,0.75,5.14,0.79,0,0.61,0,22.43,0,8.49,405.53,0,1.84,1.83,0,4.88,0,0,0,0,0.99,67.65,0,4.09,0
 36-46,0,0,0,0,3.51,2.01,0,92.57,0.64,1.17,2.45,0,0,0,0,0,1.49,0,0.87,17.83,0,8.22,282.73,0,2.49,0.72,0,5.84,0,0,0,0,0,39.59,0,0.73,0
 48-58,0,0,0,0,4.89,0.37,0,137.14,1.87,0,9.45,0.37,0,0,1.22,0,0,0,0,27.72,4.67,4.13,145.36,0,0,1.05,0,4.55,0,0,0,0,0,16.54,0,1.66,1.95
 60-70,0,0,0,0,1.27,2.2,0,102.15,0,1.51,6.84,0,0,0,0,0,0,0,0,15.95,0,2.15,65.4,0,0,0,0,0,0,0,0,0,0,2.07,0,10.62,0
 72-82,0,0,0,0,1.35,0,0,24.14,0.64,0,4.96,0,0,0,0,0,0,0,0,9.08,0,0.56,48.79,0,0.79,0,0,0,0,0,0,0,0,0,0.5,0,0
 84-94,0,0,0,0,1.59,0,0,21.16,0,0,7.73,1.01,0,2.85,1.53,0.56,0,0,0,11.11,1.36,0,37.67,0,0,3.38,0,2.37,0,0,0,0,0,1.5,0,2.76,0
 96-106,0,0,0,0,1.02,0,0,11.58,0,0,5.65,0,0,0,0,0,0,0,0,5.13,0.68,0,6.65,0,0,1.35,0,2.01,0,0,0,0,0,0,0,5.99,0
108-118,0,0,0,0,1.83,6.37,0,11.47,0,0,0.94,0,0,0,0,0,0.73,0,0,6.97,0,1.7,28.01,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
120,0,0,0,0,0,0,1.61,21.01,0,1.04,0,3.28,0,0,0,0,0,0,0,5.14,0,0,28.53,0,0,3.28,0,3.91,0,0,0,0,0,0,0,0,0
