stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,20.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.53,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,3.74,0,0,11.02,0,0,0,0,0,0,0
 14-21,0,0,0.98,15.38,4.74,0,2.8,0,0,5.52,1.82,0,0,0,0,0,0,0,3.35,0,0,8.2,115.36,2.61,0,0,2.93,2.34,8.54,0,4.58,40.07,0,0,1.05,0,0
 24-34,0,0,0,9.75,0,0,19.06,0,0,7.69,0,3.26,0.87,0,0,0.72,0.65,1.75,31.48,0,0,11.94,293.91,0.71,1.47,1.46,0,16.53,0,1.45,0,56.52,0,0,10.72,0,0
 36-46,0,0,0,7.53,0,0,41.73,0,0,1.5,0,1.73,0,0,0,0,0,0,18.52,0,0,6.21,248.2,3.59,0,1.19,0,9.98,0,0,0,41.27,0,0,4.64,0,0
 48-58,0,0,0,10.23,0,0,70.01,0,0,7.81,0,1.83,0,0,0.82,0,0,0,12.4,0,1.71,2.47,188.02,0,2.43,5.61,0,0.43,0,0,0,33.61,0,0,1.63,0,0.55
 60-70,0,0,0,4.57,0,0,96.54,0.94,0,11.61,0,0.76,0.92,0,0,1.39,0,0,19.3,0,0,1.17,242.93,0,3.04,0,0,8.04,0,0,0,49.93,0,0,4.37,0,0
 72-82,0,0,0,5.8,0,2.08,68.79,0,3.39,14.67,0.76,0,5.24,0,2.8,1.58,0,0,28.66,0,0.93,0.68,203.73,0,0.7,0.79,0,7.7,0,0,0,16.28,0,0,2.94,1.49,0
 84-94,0,0,0,0.64,11.46,0,36.81,0,0,8.22,0,0,3.79,0.59,0.62,0,0,4.37,22.87,0,0.7,2.16,95.72,0,0,2.81,0,3.98,0,0.67,0,6.61,0,0,4.24,0,0
 96-106,0,0,0,0,3.29,0,37.36,0,0,16.6,0,0,2.36,1.06,0,2.35,9.55,0,9.75,0,0,0,83.46,0,0,0,0,3.82,0,0,0,12.12,0,0,0.89,0.8,1.36
108-118,0,0,0,4.65,0,0,35.12,0,0.73,3.68,0.96,0,2.14,0,3.03,0,0,0.53,18.02,1.22,1.21,1.56,104.53,0,0.7,0,0,0.72,0,0,0,3.01,0.58,1.18,1.6,0,0
120,0,0,0,6.06,0,0,20.46,0,10.08,12.14,0,1.15,2.8,0,7.33,0,0,0,41.2,0,0,4.17,111.07,0,2.88,2.28,0,0,0,1.79,0,1.57,1.06,0,10.78,0,0
