stage,blastomeres,endocrine.pancreas,eye,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,20.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.71,0,0,1.65,0,0,0,0,0,10.18,3.22,0,1.2,0
 36-46,0,0,0,0,0,0,0,0,0.66,3.41,0,0,1.18,0,0,0,0,0,3.73,1.64,0,0,0
 48-58,0,0,0,0,2.23,0,0,0,0,0,2.1,0,1.33,0,0,0,0,0,3.76,0,0,0,0
 60-70,0,0,0,0,1.53,0,0,0,0,0.66,8,0,0,0,0,0,1.67,0,1.85,0,0,0,0
 72-82,0,0.54,0,0,3.13,0,0,0,0,0,0.62,0,3.04,0,0,0,0,0,8.18,0,3.12,0,5.82
 84-94,0,0,1.47,0,12.98,0,0.8,0,0,0,0.98,0,0,7.07,0.71,0,0,0,11.19,0,3.02,0,2.87
 96-106,0,0,5.37,0,8.09,0,0,0,0,0.9,7.81,1.94,0.66,0,0,0,0,0,6.6,0,0,0,7.71
108-118,0,0,1.44,0.98,12,1.12,0,0,0,3.01,0,0,2.9,0,0,0,0.47,0,6.55,2.03,0.41,1.56,5.49
120,0,0,0,0,24.54,2.34,0,3.42,0,0,0,0,18.32,0,0,0,0,0,5.63,0,0,0,6.08
