stage,epidermis,erythrocytes,eye,iridophores,mesenchyme,mural.cell,muscle,neural,periderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,4.09,0,0,0
 10-12,0,0,0,0,0,0,0,4.06,0,0,0
 14-21,0,0,0.95,0,0,0,0,2.88,0,0.89,2.14
 24-34,0,0,0.99,0,1.04,0,0,6.21,0,0,0
 36-46,0,0,0.67,0,0,0,0,18.51,0,0,0
 48-58,0,0,4.86,0,0.76,0,0.37,0,0,0,0.72
 60-70,1.42,0,0,0,0,0,0,0.96,0,0,0
 72-82,0.63,0,0,0.57,0.58,0,0,2.13,0,0,0
 96-106,0,0,0,0,3.62,0,0,1.66,1.88,0,0
108-118,0,0,0,0,0,0,0,3.94,0,0,0
120,0,1.12,0,0,3.83,10.27,0,0,0,0,0
