stage,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0.92,0,0,0,0,0,0,0,0,0,0,0,2.34,18.02,0,0,0,0,0.88,0,0,0,0
 24-34,0,6.63,0,0,0,0,0.67,0,0,0.62,0,1.83,1.11,0,0,0,0.67,1.75,0,2.18,0,0,0
 36-46,0,0,0.75,0,0,0,2.61,0,1.47,1.99,1.72,0,8.99,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.04,0,0,11.17,0.51,0,0,0,0,0,0.62,0,0,0
 60-70,0,0,6.69,0,0,0,0,0,0,3.64,0,0,11.85,0,0,0,0,0,0,1.3,0,0,0
 72-82,0,0,3.02,0,3.41,0.58,0,6.07,0,6.14,1,0,14.82,0,0,0.67,0,0.64,0,0,1.03,0,0.59
 84-94,0,0,8.19,0,0,0,0,3.19,0,5.56,0,0,6.59,0,0,0,3.05,4.1,0,4.7,0,1.27,2
 96-106,0,0,5.13,0,11.38,2.4,0,13.26,0,2.05,0,0,10.24,0,1.81,0,0,1.91,0,0,0,0,0
108-118,0,0,10.03,0.73,0,0,0,27.09,0,14.63,0,0,16.23,0,0,0,0,0,0,0,0,0,0
120,0,0,14.22,0,8.94,0,0,32.04,0,3.68,0,0,8.79,0,0,0,0,1.94,0,0,0,0,0
