stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.18,4.46,0,0,13.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.74,0,0,0,0,0,0,0,0,0,0,3.66,0,0,9.09,0,0,0,0,0,1.5,0,0,6.21,0,0,0
 24-34,0,0,0.69,3.27,0,2.05,0,0,0,0,0,0,0,2.29,0,0,62.34,1.57,0,0,0,0,0,0,0.77,27.01,2.73,0,1.04
 36-46,0,0,0,2.87,0,3.09,0,0,0,0,0.74,0,0,3.12,1.97,2.05,135.76,0,0,0,0,0.85,0,0,0,26.37,1.48,0,0
 48-58,0,0,0,20.38,0,4.61,0,0,0,0,0,0,1.2,8.51,0,0,117.25,1.69,0.86,0,0,0,0,0,0,15.71,1.57,0,0
 60-70,0,0,0,49.53,0,11.08,0,0.58,0,0,0.7,0,0,13.5,0,2.12,196.63,4.58,1.1,3.52,0,0,0,0,0,20.21,2.97,0,0
 72-82,0,1.32,0,53.31,0.58,8.15,0,0,0,0,0,9.33,0,9.14,0,4.36,140.92,0,2.37,5.28,0,0,0,0,0,16,5.58,0,0
 84-94,0,0,0,37.27,0,3.43,0,0.56,0.62,0,1.39,0,0,10.32,0.65,0,124.59,0.67,3.24,2.38,0,0,0,0,0,2.55,0,0,0
 96-106,0,0,2.53,54.9,0,1.85,1.23,0,0.85,0,0.63,0,0,7.52,1.84,1.48,65.49,2.1,6.25,13.61,0,0,0,0,0,0.57,3.02,0,0
108-118,0,0,2.38,24.71,0,2.78,0,0,0,0.5,0,0,0,9.18,0,1.45,82.39,0,1.86,1.33,0,0.64,0,0,0,0.46,0,1.09,0
120,0,0,1.17,54.82,0,6.26,0,0,0,0,0,3.84,0,0,0,1.38,197.85,0,1.91,0,0,0,0,2.07,0,0,0,0,0
