stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,18.73,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,17.05,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,12.61,0,0,1.06,3.06,0,0,0,0,1.27,0,0
 24-34,0,0,0,0,0,1.62,47.04,1.16,0,0,1.52,0,0,0,0,0.94,0,0
 36-46,0,0,0,3.31,0,0,61.22,0.61,0,0,8.85,0,0,0,0,1.3,0,0
 48-58,0,2.92,0,0.48,0.45,0.91,75.35,1.41,0,0,4.18,0,0,0,0,0,0,0.45
 60-70,0,0,0,3.66,0,0,131.61,0,0,0,4.77,0,0,0,0,0,5.15,0
 72-82,0,0,0,0.95,0,0,96.71,0,0,0,4.01,0,0,0,2,0,0,0
 84-94,0,0,0,2.11,0,0,154.29,0,0,0,0,1.31,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,122.13,0.64,0,0,0.81,0,0.78,0,0,0,0,0
108-118,0,0,2.19,0,0,0,141.37,1.96,0.75,0,3.22,0,0,0,3.91,0,0,0
120,0,0,0,0,0,0,137.4,10.06,0,0,2.7,0,0,2,0,0,0,9.64
