stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,105.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,0,0,0,0,0,0,0,22.66,5.52,0,0,3.38,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,48.3,3.27,0,0,5.21,0,0,0,0,0,0
 14-21,0,0,0,2.8,0.92,0,6.47,0,0.82,0,0,0,15.47,0,0,0,0,0,0.9,1.64,2.63,16.7,0
 24-34,0,0,0,0,0.82,0,1.86,0,2,0,0,1.01,26.74,0,3.32,1.28,0,0.62,0,0,0.74,7.94,0
 36-46,0,0,0,0,0,0,1.07,0,0.83,0,0,0,14.71,0,9.14,1.84,0,1.69,0,0,6.61,6.5,0
 48-58,0,0,0,0,7.66,0.38,3.25,0,0.56,0,0,0,52.43,0,2.71,0,0,0,0,0,0,13.5,0
 60-70,0,0,0,0,51.03,0,6.08,0.7,2.37,1.53,0,0,20.72,0,2.71,4.61,0,0,0,0,0,5.52,0
 72-82,0,0,0,0,47.16,0,2.27,0,2.06,0,0,0,20.19,0,2.59,0.95,0,0,0,0,0,1.03,0
 84-94,0,0,0.66,8.43,39.47,0,2.14,0,0.71,0,0,0,11.36,0,0.8,0,0,0,0,0,0,0.65,0
 96-106,0,0,0,0,23.92,0,3.61,0.79,5.44,0,4.1,0,19.56,0,4.32,0.6,0,0,0,0,0,12.51,1.94
108-118,0,0,0.6,0,63.35,0,6.1,1.04,11.23,0,0,1.12,22.38,0,2.5,5.9,0,0,0,0,0.43,2.65,0
120,0,0,0,0,53.78,0,8,1.54,0,0,0,0,89.32,0,20.1,13.89,0,0,0,0,0,4.36,0
