stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0,0,0
  5-6,56.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,16.49,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,5.7,0,0,0,0,0,0,0,0,0
 10-12,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0,0,0,3.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.49,1.77,8.47,0,0,0,1.13,0,0,0,0,0,0.92,0,0,4.56,0,3.96,59.3,0,0,0,0.84,1.86,5.06,1.27,0,8.32,17.87,0,0,0
 24-34,0,1.1,2.6,0,10.42,0,0,0,3.33,0,0,0,0,0,0,0,0,8.21,0,1.9,139.67,0.92,0,3.11,0,5.28,0,1.39,0,0,37.39,2.62,0,0
 36-46,0,0,1.25,0,19.95,0,0,0,10.71,0,0,0,0,0,0,0,0,7.22,0,4.94,117.6,0,0,0,0,3.72,0,0,4.96,0,17.86,0,0,0
 48-58,0,0,0,0,19.29,0,0.75,0.45,6.46,0,0,0,0.42,0,0.49,0,0,14.67,0.58,0.41,85.49,0,0,0.44,0,11.61,0,0,0.95,0,17.19,0,0,0
 60-70,0,0,1.32,0.67,9.77,1.56,6.15,0,4.14,0,0,0,0,0,0,0,0,13.95,0,1.56,49.82,0,0,0,0,1.77,0,0,1.91,0,7.01,0,0,2.66
 72-82,0,0,0.49,0,9.2,0.82,0,0,5.51,0,0.59,2.04,0.64,0.5,2.84,0,0,22.53,0,6.68,14.21,0,0,1.34,0,2.54,0,0,0,0,0,2.47,3.59,0
 84-94,0,0,16.3,0,11.53,0,0,0,2.78,0.77,0,0,2.38,0,0.63,0.56,3.23,14.74,0,2.28,27.55,0.83,0.81,0,0,12.72,0,0,0.55,0,2.33,0,0,0
 96-106,0,0,0.72,0,29.22,0,0,4.79,3.26,0,0,0,1.39,0,0,0,0,8.25,0,2.11,17.7,0,0.68,0.83,0,6.28,0,0,0,0,0,2.33,0,0
108-118,0,0,2.34,0,7.02,0,0.55,0,5.51,0,0,0,0,0,1.15,0.56,0,10.25,0,1.12,12.53,0,0,1.24,0,6.63,0,0,0,0,0,0.67,0,3.13
120,0,0,5.73,0,10.24,0,1.92,0,0,0,0,2.11,2.77,4.55,0,0,0,16.09,0,0,15.66,0,1.62,0,0,10.64,0,4.05,0,0,0,2,0,3.6
