stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,0,0,27.64,0,0,2304.65,0,0,0
 14-21,0,1.01,1437.66,0,0,0,0,0,0,0,0,0,0,0.81,8.77,0,0,0,1.53,2.77,5.56,0,10.93,0
 24-34,0,0,30.78,0,0,0,0,0,0,0.68,0,0,0,0,5.19,0,19.11,0,0,0,1.26,0,55.03,0
 36-46,0,0,0.69,0,0,1.24,0,0,0,0,0,0,0,0,3.4,0,15.04,0,0,0,0.58,0,23.1,0
 48-58,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,1.1,0,24.56,0,0,0,0,1.16,0.6,0
 60-70,0,0,0,0,1.93,0,0,0,0,8.56,0,7.39,0,0,4.66,0,45.07,0,0,0,0,0,1.05,0
 72-82,0,0,0,0.57,6.61,0,6.93,5.55,0,18.46,0,4.5,0.79,1.26,0.84,0,92.39,0,1.44,0,0,0.6,5.14,0
 84-94,0,0,0,6.25,0,0,7.73,5.76,0,26.94,3.49,0,0,0,3.01,0,105.06,0,0,0,0,0,1.71,0
 96-106,0,0,0,8.6,9.9,0,11.36,9.61,0,69.89,0,2.93,0,1.2,5.36,0,167.66,0,0,0,0,0,0,1.72
108-118,0,0,0,17.65,2.22,0,10.48,20.47,0,42.49,0,6.37,1.25,0,5.42,0,128.24,0,0,0,0,0,5.21,0
120,0,0,0,10.19,0,10.94,3.41,34.84,6.25,45.36,0,7.18,0,0,0,2.28,174.93,0,2.14,0,0,0,0,0
