stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,174.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,42.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7.21,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.76,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,19.16,1.63,0,0.98,0,0,0,3.37,1.14,1.33,2.26,0,1.23,0,0
 24-34,0,0,0,0.79,0,3.87,0,0,0,0,0,0,0,0,0,3.27,0,0,2.3,0,0,1.92,63.81,0,0,0,0,0,1.7,0.85,0,2.09,25.52,0,10.47,0,0
 36-46,0,0,0,1.58,0,2.39,0,1.4,0,1.07,0.82,0,0,0,0,1.81,0,0,0.57,0,0,0,144.79,0,0,0,0,0,0,0,2.78,0,23.68,0,0,0,0
 48-58,0,0,0,3.51,0,26.4,0,0,0.41,9.71,0,0,0,0,0,0,1.08,2.44,13.1,0.39,0,0.94,196.38,0,0,0.44,0,0,0,0,0,0,23.69,0,2.5,0,0
 60-70,0,0,0,2.07,0,91.24,0,0,0.9,7.59,0.99,0,0,1.41,0,0,0,0.93,8.99,0,3.77,0.94,318.88,0,1.23,0,0,0,0,0,0,0,15.4,0,10.51,0,0
 72-82,0,0,0.56,0.7,0,102.53,0,0,0,7.18,0.57,0,0,0,0,0.55,0,0,4.07,0,0,0.78,207.51,0,0,0.69,0,0,0,0,0,0,12.08,0,0.87,0.78,0
 84-94,0,0,0,1.94,0,55.48,0.76,0,0,1.45,0,0,0,0,0.68,6.07,0,0,8.57,0,0,2.06,168.58,0,0,0.82,0,0,5.88,0,0,0,15.12,1.23,5.37,0,0
 96-106,0,0,0,2.04,0,13.88,0,0,0,3.09,0,0,0.99,0,0,0,0,0,5.85,0,0.67,1.33,77.11,0,0,1.71,0,0,0.75,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,39.56,0,0,0,12.13,0,0,0,0,0,0.73,0,0,11.9,0,0,0.55,105.4,0,0,0,0,2.05,0.81,0,0,0,2.51,0.6,1.85,0,1.2
120,0,0,0,0,0,32.44,0,0,0,33.48,0,0,0,3.52,0,0,0,0,11.12,0,0,1.99,247.93,0,1.11,6.76,0,0,1.51,0,0,0,0,1.95,0,0,0
