stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,165.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.22,180.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,6.32,0,0,0,0,0,0,0
  7-9,5.71,26.69,8.57,0,0,20.61,0,0,0,0,9.08,0,0,0,0,0,0,0,0,0,182.78,7.75,0,0,76.5,0,0,0,0,0,0,0,0,0
 10-12,0,22.61,14.81,0,0,9.9,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,338.19,20.27,0,0,158.3,0,0,0,30.71,0,0,0,0,0
 14-21,0,0,0,24.89,4.56,18.16,0,0,4.77,1.56,0,1.23,0,0,0,0,0,15.71,0,12.07,230.44,5.9,4.39,0,5.42,0,16.22,12.4,0,4.75,47.23,0.81,0,0
 24-34,0,0,0.59,4.15,2.27,60.62,0,0,8.22,0,0,0,0,1.75,0,0,18.61,57.59,0,15.81,570.46,1.13,1.06,5.44,0,0,21.51,0,0,3.37,96.27,10.27,0,1.55
 36-46,0,0,0,14.95,1.17,157.15,11.74,0,14.94,0,0,2.22,5.28,0,1.49,0.77,1.51,47.47,0.72,16.06,452.06,0,0,1.37,0,0,3.27,0,3.13,0,90.08,0.69,0,0
 48-58,0,0,0,12.78,0.77,266.37,5.13,0,24.46,0.92,0,1.61,2.81,4.02,3.8,0.41,0,56.45,3.28,8.45,267.97,0,9.57,0.55,0,0,7.46,0,0,0,24.93,9.05,0,0
 60-70,0,0,0,8.44,3.32,127.98,1.2,0.72,28.84,1.66,0,0.66,0,0,0,2.2,0,27.6,3.24,5.2,112.88,0,1.42,1.77,0,0,3,0,0,0,1.86,4.84,0.73,1.44
 72-82,0,0,0,4.21,0.59,54.6,0,0.8,16.41,0,0,1.05,1.58,0,0,0.49,0,69.35,10.41,4.71,76.39,0,0.51,4.31,0,0,3.32,0,1.87,0,0.85,8.79,0.58,0
 84-94,0,0,0,5.35,0,71.19,0,1.01,11.69,1.28,0,0,3,0,4.13,2.3,0.6,40.35,1.96,3.28,66.71,0,1.77,0.57,0,0,5.83,0,0.56,0,2.74,13.49,0,0
 96-106,0,0,0,5.64,0,51.69,0,0,25.13,2.01,0,0,2.2,0,0,0,0,38.85,5.89,0,52.45,0,0,0.77,0,1.04,1.67,0,0,0,0,5.21,0,0
108-118,0,0,0,11.17,2.82,31.96,1,0,28.87,2.85,0,0,1.47,0,2.8,0,0,26.36,0.98,5.31,68.56,0,0,3.95,0,0.95,6.3,0,0.45,0,0,6.09,0,0
120,0,0,0,5.34,4.59,40.35,0,0,9.03,0,0,0,0,0,0,0,0,13.83,0,1.9,89.01,1.93,0,3.88,0,0,0,0,0,0,0,4.4,6.74,0
