stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,12.72,5.83,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,19.38,6.45,0,0,3.28
 14-21,0,0,0,0,0,0,0,0.82,0,0,1.17,0,0,1.28,0
 24-34,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0.89
 36-46,0,0,0,0,0,0,0,3.64,0,0,4.88,0,1.07,0,0
 48-58,0,0,0.93,0,0.87,0,0,0.48,0,0,4.11,0,0,0,0
 60-70,0,0,0.96,0,0.63,0,0,0,2.57,0,7.53,0,0,0,0
 72-82,0,5.01,3.5,3.7,2.72,0,0,2.18,0,1.07,29,0,0,0,3.95
 84-94,0.7,0,2.04,0,0,0,0,0,0,0,2.16,0,0.71,0,0
 96-106,0,0,0,0.64,0,0,0.6,3.98,1.34,0,0,0,0,0,0
108-118,0.72,0,1.99,0,0,0,0,1.06,0,0,19.61,0,0,0,0
120,0,0,5.49,0,0,0,0,0,0,0,38.16,0,0,0,0
