stage,blastomeres,endoderm,exocrine.pancreas,eye,glial,iridophores,liver,mesenchyme,neural,pericytes,spinal.cord
  3-4,15.55,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.02,0,0,0,0,0,0,3.28,0,0
 14-21,0,0,0,0,0,0,0,0,0.96,0,0
 24-34,0,0,0,0,0,0,0,0,1.8,0,0.94
 36-46,0,0,0,0,0,0,0,0,1.69,0,0
 48-58,0,0,0,3.25,1.51,0,0,0,2.81,0,4.24
 60-70,0,0,0,0.88,0,0,0,0,11.63,0,0
 72-82,0,0,0,1.66,0,0,0,1.81,6.26,0,0
 84-94,0,0,11.86,0,0,0.58,0,0,2.66,0,0
 96-106,0,0,0,1.74,0,0,0,0,0,0,0
108-118,0,0,6.46,0,0,0,1.06,0,3.33,1.58,0
120,0,0,1.71,0,1.97,0,0,0,0,0,0
