stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,20.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.32,0,0,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.34,0,0,0,21.31,0,0,0,7.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.92,2.36,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38,0,0,10.57,233.51,16.96,0,0,5.69,0,4.76,24.79,0,0,4.91,381.36,0,0,0,0,0
 24-34,0,0,0,7.78,0.81,0,16.49,0,0,1.72,16.77,0,0,2,3.83,0.83,0,0,0.66,6.43,30.59,0,0,6.42,732.15,0.67,1.08,0,0,0,11.94,0,2.53,0,1.58,1110.03,0,0,15.44,0,0
 36-46,0,0,0,23.21,4.5,0,159.92,0.79,0,0,14.16,0,0,0,1.06,0,0,0,0,8.82,17.76,0,0,10.54,1238.08,4.2,0,1.19,0,0,3.85,0,1.46,0,0,1377.22,0,0,0,0,5.34
 48-58,0,0,0,9.92,0,0,3732.51,0,5.58,1.43,48.49,0,0,1.37,0,0,0,0,0,0,45.51,7.72,0,14.16,1863.89,0.88,4.8,6.01,0,0,0.9,0,0,0,0,1342.56,0,0,2.44,0,21.97
 60-70,0,0,0,37.43,1.51,0,32914.85,6.62,8.81,0.93,58.12,0,0,0.6,2.11,0,1.09,0,0,6.25,110.73,0,0,2.44,2488.84,8.35,3.45,0,0,3.93,25.76,0,4.74,0,0,1337.54,0,2.61,3.94,0.64,23.58
 72-82,0,1.44,4.56,269.18,10.82,1.77,65926.13,4.73,19.27,23.04,650.49,10.2,0,17.19,5.21,6.56,8.27,1.05,85.78,8.58,267.87,3.04,9.62,6.59,4195.09,1.26,10.28,7.4,0,12.2,19.27,0,5.62,2.27,0,899.24,10.09,4.15,16.91,22.32,72.95
 84-94,0,3.39,8.8,241.48,15.66,0,47906.02,5.13,28.15,14.58,995.46,2.79,0.91,6.55,8.2,9.3,13.23,5.42,4.48,0,287.55,6.11,28.52,35.69,3426.99,10.53,2.44,23.96,0,0,29.25,0,0,1.03,0,709.68,8.14,31.04,35.85,23.33,12.64
 96-106,0,1.82,2.44,332.65,66.41,0,53623.83,8.44,28.81,3.54,691.61,23.31,0,8.29,42.03,0.64,9.1,2.73,31.77,0,188.17,8.04,6.74,4.26,2448.19,22.96,14.91,8.39,0,3.97,59.95,0,9.35,0,0,335.04,31.86,7.09,29.6,6.84,50.53
108-118,0,0,19.21,207.35,33.83,14.27,40211.54,4.12,8.27,7.26,710.59,10.42,0,2.91,13.38,2.02,1.31,0,17.76,4.49,173.7,1.01,36.14,23.33,3614.93,1.94,6.39,21.79,0,3.91,15.66,0,1.48,0,0,254.76,24.98,3.69,23.48,13.44,8.73
120,0,0,0,178.99,21.04,1.23,20747.77,20.16,2.42,4.69,947.7,16.86,0,6.47,19.42,9.84,28.28,1.74,9.45,0,156.95,14.69,0,13.52,4642.85,2.11,0,8.54,0,0,28.7,0,6.3,0,0,138.76,4.13,25.48,1.14,9.79,26.15
