stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,20.61,802.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.31,0,0,0,0,0,0,0,0,0,0
  5-6,47.1,808.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,0,0,0,0,43.81,0,0,0,0,0,0,0,0,0,0
  7-9,9.63,0,8.61,0,0,25.96,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,214.07,19.04,0,0,66.64,0,5.09,11.49,0,0,0,0,0,0,0,0,0
 10-12,0,9.71,7.34,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.86,18.04,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,5.28,1.88,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,1.06,32.64,0.83,1,0,2.42,0,0,0,3.69,0.99,0.81,6.11,15.62,0,0,0,0
 24-34,0,0,1.44,1.92,0,5.5,0,0,0,6.94,0,0,0,0,0,0,0.75,0,1.64,7.26,0,0,3.88,93.69,0,0,1.98,0,0,12.53,0,0,0.6,0,0.69,35.13,0,0,3.16,0
 36-46,0,0,0,0,0,10.77,0,0,0,1.6,0,0,0,0,0,0,0.75,0,0,8.53,0,0,0.6,171.98,0,2.88,0.7,0,0,2.71,0,0,0,0,0,38.37,0,0,7.04,0
 48-58,0,0,0,1.81,0,42.37,0,0.51,0.46,11.75,0,0,0,0,0,0,0,0,0,8.16,0.4,0.39,2.48,161.24,5.32,0,0,0,0,3.61,0,0,0,0,0,38.53,0,0,0.47,0.6
 60-70,0,0,0,1.91,0,45.54,0,0.68,0.89,5.1,0,0,0,0,0,0,0,3.59,0,25.32,1.1,0,0,149.11,0,1.43,2.01,0,0,1.77,0,0,0,0,0,30.1,0,0,0,0
 72-82,0,0,0,1.06,5.63,49.08,0,0.82,0,9.48,1.41,0,0,0,0,1.24,0,0,0,26.75,0,0,5.85,210.63,0,0,0,0,0,1.7,0,0,0,0,0,29.71,0,1.19,0,0
 84-94,0,0,0,3.62,0,26.75,0,3.26,0,3.99,0,0,4.06,0,0,0,1.3,0,0.68,24.46,0,2.67,0,124.8,0.68,1.54,0.59,0,0,14.62,0,0,0,0,0,10.86,2.36,0,5.02,0
 96-106,0,0,0,0.58,6.88,60.94,0,2.25,0,14.16,0,0,0,2.14,0,0,0,0,0,25.22,0,1.14,0.57,109.03,0,0.81,5.44,0,0,12.34,0,0,0,0,0,4.35,0,0,1.45,0
108-118,0,0,0,3.37,5.66,25.9,0,2.16,0,13.86,0,0,0,0,0.44,0,0,0,0.58,42.02,0,0,3.63,123.54,0,0,0,0,1.33,4.11,0,0,0,0,0,6.12,0,0,2.52,0
120,0,0,0,0,5.58,52.87,1.06,0,0,5.91,0,0,0,0,0,0,0,0,0,28.59,0,0,2.24,135.02,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,2.39,0
