stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  5-6,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,25.42,0,0,0,22.04,0,0,0,0,0
 10-12,0,12.88,0,0,4.09,0,0,0,0,0,0,0,9.28,0,0,0,7.33,0,4.43,0,0,0
 14-21,0,0,0,0.98,0.81,0,5.36,0,0,1.2,0,0,15.51,0,1.23,1.61,0.99,5.09,1.38,1.05,11.02,0
 24-34,0,0,0.65,0,0,0,7.68,0,0.79,0.6,0,0,17.91,0.75,0,0.73,0,0,0,0,9.5,0
 36-46,0,0,0,0,1.28,0,6.89,0,0,4.73,0,0,6.92,0,0,0,0,0,0,0,2.28,0
 48-58,0,0,0,0,5.8,0,1.27,3.61,0,0.64,0,0,5.95,0,0,0,0,0,0,0,6.5,0
 60-70,0,0,0,0,4.44,0.63,4.07,0,0,0,0,4.38,0.75,0,1.62,10.68,0,0,0,0,9.05,0
 72-82,0,0,0,0,3.39,0,3.83,0,0,1.45,0,0,0,0,2.93,0,0,0,0,0,3.5,0
 84-94,0,0,0,0,3.8,0.83,0,0,0,0,1.28,0,4.87,0,0,0,0,0,0,0,2.06,0.68
 96-106,0,0,0,0,2.11,0.92,0,0,0,4.51,0,0,1.47,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.86,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,1.75,0
