stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,358.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,47.05,4.4,0,0,10.98,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,56.81,0,0,0,0,0,0,0,53.34,8.45,0,0,17.66,0,8.82,0,0,0,0,0
 14-21,0,0,3.7,0,0,0,0,0,0,0.92,0,0,0,0,1.15,0,0,15.33,0,0,0,0,1,0,3.01,3.42,0,0.91,0
 24-34,0,0,2.19,0,0,0,0,0,0,0,0,1.36,0,0,0,3.48,1.94,29.99,0,3.74,0.9,0,23.38,0,0,8.21,0,0,0
 36-46,0,0,0,0,0,5.09,0,7.7,0.66,0,0,5.05,3.95,0,0,0.65,1.15,9.78,0,2.29,0.83,0,10.35,0,0,4.55,0,0,0
 48-58,0,0,0,0,0,1.71,0,0.66,0,0,0,0,0,2.25,2.02,7.41,0,12.05,0.94,0.71,0,0,23.67,0,0,1.09,0,0,0
 60-70,0,0,2.34,0,0,6.04,0,1.4,0,0,0.89,10.76,3.11,0,5.32,3.61,0,21.41,0,3.59,0,0,15.29,0,0,0,0,0,0
 72-82,0,0,0.71,0,0,14.83,0.81,3.6,0.71,0,0.55,0.7,19.45,0.51,3.72,2.94,0,28.72,0,11.59,0,0,17.23,0,0,1,0,0,4.87
 84-94,0,0,3.38,0,11.47,6.1,0,2.69,2.11,0,0,0.8,4.69,6.56,0.96,9.84,0,13.3,0,3.67,2.41,0,20.38,0,0,0,3,0,0
 96-106,0,0.95,0.6,0,8.62,5.9,0,1.7,1.86,0,1.41,0,9.22,1.66,3,3.32,0,13.02,0,1.62,0,0,41.09,0,0,0,4.44,2.57,0
108-118,0,0,4.1,8.23,46.8,7.16,0,7.21,2.71,0,3.42,0.68,6.94,6.79,0,8.39,0,20.2,0,4.63,0.51,0,36.94,0,0,0,0.66,0,0
120,0,0,5.11,0,9.24,3.94,1.23,0,11.15,0,12.01,0,3.53,3.25,0,1.93,0,1.96,0,7.77,0,0,36.97,0,0,0,0,0,0
