stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,47.96,1064.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.08,0,0,0,0,0,0,0,0,0
  5-6,56.53,700.94,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,10.37,8.51,0,0,0,0,0,0,0,0,0
  7-9,27.44,25.73,39.16,0,0,0,99.87,0,0,0,0,0,21.55,0,0,0,0,0,0,0,0,0,0,0,522.06,20.52,0,0,136.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.45,4.23,0,0,0,66.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567.42,0,0,0,148.72,0,3.03,6.12,3.98,0,0,0,0,0,0
 14-21,0,0,2.94,3.9,0,0,5.18,0,0,0,1.11,1.14,0,0,0,0,0,0,0,0,4.01,0,0,2.67,69.52,0,0,0.88,0,0,0,8.71,0.84,7.99,17.02,0,0,0,0
 24-34,0,0,0,4.93,0,0,5.25,0,0,0.69,5.37,0,0,0.86,0,0,0,0,0,0,11.55,0,0,7.02,125.77,1.66,0,1.66,0,1.74,0,0,0,0.62,26.65,0,0,0,0
 36-46,0,0,0,1.33,0,0,25.51,0,0,0,11.29,0,0,0,0,0,0,0,0,0,25.55,0,0,12.99,135.02,0.63,0.62,0.63,0,25.92,0,0,4.16,0,41.7,0,1.54,0,0
 48-58,0,0,0,1.37,0,0,30.56,0,0,0.77,14.57,0,0,0.48,0.92,2.29,5.04,0.4,0,0,13.06,0,0,3.45,110.84,0,0.47,7.83,0,1.48,0,0,0,0,15.7,0,1.2,0,0.82
 60-70,0,0,0,14.85,0,0,51.75,3.1,0,0.75,16.6,0,0,0,0,0,0.85,0,0,0,28.45,0,0,0,105.64,0,0,1.81,0,5.52,0,0,0,0,12.04,0,11.29,0,3.29
 72-82,0,0,0,0.82,0,0,69.69,0,0,0,7.17,0.54,0,0.9,1.67,0.53,0,0,1.68,0.64,25.6,0,0,1.79,100.36,0,2.19,1.14,0,0.76,0,0,0,0,19.61,1.37,0,2.6,0.63
 84-94,0,0,0,2.83,1.79,0,37.02,0,0,0,12.02,0.58,0,0,0.85,0,0,0.78,0,0,18.79,0,0.86,2.53,58.76,0,1.04,0,0,1.06,0,0,0,0,18.33,0,1.11,0,0
 96-106,0,0,0,7.01,1.95,0,19.48,0,0,0,6.95,0,0,0,0.74,0,0.63,1.11,0,0,23.59,2.46,0,1.05,52.37,0.85,2.04,3.62,0,2.42,0,0,0,0,2.3,0.66,0,0,0
108-118,0,0,0,3.81,0.66,0.44,27.21,0,0,0,5.64,4.3,0,0,0,0.49,0,1.26,0,0.51,26.06,0,0,3.19,78.02,1.97,0.93,0.57,0,1.87,0,0,0,0,0,0,13.14,0,0
120,0,0,0,6.09,0,0,34.82,0,1.14,0,45.03,0,0,10.06,0,0,0,0,3.84,0,12.25,0,0,2.53,134.72,0,0,0,0,1.21,0,0,1.94,0,1.19,0,0,0,0
