stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.44,0,0,6.68,0,0,11.28,0,0,0,0,0,0,0,0
 14-21,0,2.93,12.4,0,1.99,0,0,0,10.48,0,0,0,0,0,10.19,0,13.77,385.18,3.59,3.33,0,0,0,0,0,17.39,85.72,0,0,0,0,0
 24-34,0,0.59,10.57,0,5.72,0,0,0,10.15,0,0.94,0,0,0,22.02,0,15.25,1036.14,12.63,12.15,0,0,0,1.54,0.78,0,189.86,0,0,3.19,0,0
 36-46,0,0,0,2.92,9.99,0,0,1.25,67.88,0,1.45,0,0,0,14.5,0.55,3.13,745.17,10.22,2.88,0,0,19.78,1.31,0,0,148.39,0,0,3.29,0,0
 48-58,0.77,0,1.41,0,16.58,0.6,1.78,0,91.82,0,1.03,0,0,0,33,0.66,5.34,364.05,13.34,15.66,0,0,0,0.43,0,0,112.35,0,1.25,0.9,0.78,0
 60-70,0,0,1.1,0,32.34,0,0,0.8,52.64,0,0,0,0,0,54.7,0,2.48,286.08,7.24,8.48,0,1.22,0,0,0,0,64.34,0,1.27,2.1,0,0
 72-82,0,0,1.3,0,25.6,0,0,2.23,61.07,0,0.58,0,4.97,2.1,58.62,0,1.43,225.4,3.61,20.98,0,1.4,0,0,0,0,76.13,0.87,5.54,0.86,1.78,3.06
 84-94,0,0,1.13,0,20.08,0,0,0.83,44.36,0,2.1,0,1.97,0,63.21,12.12,1.69,183.66,0.72,11.25,0,0,0,0,0.89,0,25.23,0,7.87,14.03,0.74,0
 96-106,0,0,2.05,2.71,15.78,0,0,2.07,49.96,1.1,0,1.28,3.7,0,52.83,4.25,5.51,164.13,0.8,11.16,0,4.48,0,0,0.84,0,21.48,0,1.21,0,2.19,0
108-118,0,0,3.28,0,20.51,0,0,1.88,71.19,0,0.51,0,0,0.64,51.14,0,0.66,262.58,1.9,13.32,0,11.1,4.86,0,1.18,0,9.46,0,0,3.4,0.61,0
120,0,0,9.48,0,7.79,0,0,3.35,137.06,0,0,0,1.91,0,38.85,0,0,435.7,0,7.94,0,9.21,0,0,0,0,0,0,0,19.34,1.59,0
