stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.85,0,9.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.15,1.36,0,0,1.02,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,45.64,0,0,0,1.9,0,0
 24-34,0,0.81,6.42,0.71,0,0,1.05,0,0,0,0,16.76,0,0,0,0,7.01,2.47,0.83,0,0,0,28.94,0,0,0,2.4,0,153.08,2.56,0,0,0.84,0,0
 36-46,0,1.65,0,0,0,0,2.26,0,0,0.56,0,3.54,0,0,0,0,1.07,10.47,0.9,0,1.42,0,32.81,0.67,0,0,3.7,0,89.91,2,0,0,0,0,0
 48-58,0,4.16,0,2.06,0,0,2.32,0,0,0,0,3.69,0.85,0,0,0,0.76,9.21,3.49,0,0,0,24.93,0,0,0,0,0,58.8,1.77,0,0,0,0,2.95
 60-70,0,4.67,0,5.25,0,0,0.68,0,0,1.58,0,14.07,0,0,0,0,0,13.44,0,0,0,0,6.29,0,0,0,0,0,47.8,0.59,0,0.73,0,0,9.4
 72-82,0,33.71,0,0.63,0,0,8.37,0,1.14,0,1.33,61.18,0,0,0,0,0,0,4.62,1.07,0,0.92,31.61,0,0,0,0,0,50.65,1.45,0,0.51,0,0.6,3.92
 84-94,0,42.01,1.01,2.1,0,0,21.77,0,0,0,2.52,150.26,0,0,0,0,5.87,16.28,3.06,0,0,0,11.3,0,0,0,0,0,94.22,0,0,0,0,0,0
 96-106,0,47.55,0.58,5.75,0,0,10.94,0,0,0,0,152.88,0,0,1.28,0,1.14,4.03,3.92,0,0,1,43.46,1.67,0,0,3.26,1.14,81.78,1.22,1.34,0,3.5,0,13.14
108-118,0,26.08,0,0,0,1.02,2.51,0.61,0.55,0,3.28,220.24,2.07,0.49,0,0,1.61,3.96,8.88,1.96,5.89,1.58,44.5,0,0,1.05,5.13,0,73.26,1.75,0,0,0,0,10.41
120,0,25.09,0,0,1.35,0,11.04,0,3.97,0,12.67,304.77,1.19,0,0,4.59,38.94,2.61,13.62,0,0,0,44.81,0,0,0,2.86,9.99,62.6,0,0,0,0,0,0
