stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,immune,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,10.26,5.34,4.56,7.35,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.88,0,6.21,0,0,1.4,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0
 36-46,0,0,0,0,1.59,0,0,0,1.27,0,0,0,0,0,0
 48-58,0,0,0,1.3,0,0,0,0,0.38,0,0,0,0,0,0.86
 60-70,0,0,0.75,0,0,0,2.69,1.41,0.95,0,0,0.62,0,0,0
 72-82,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0
 96-106,0,1.53,0,0,0,0,0,0,0,0,0,0,0.6,0,0
108-118,0,0,0,3.59,0,2.23,3.16,0,0,0,0,1.63,0,0,0
120,0,0,0,0,0,1.47,0,0,0,0,0,1.38,0,0,0
