stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites
  3-4,135.08,2022.06,0,0,0,0,0,0,0,97.34,0,0,0,0
  5-6,212.23,4139.46,0,0,0,7.31,288.8,11.17,7.11,35.89,0,0,0,0
  7-9,164.86,148.6,264.65,0,777.9,196.45,5609.61,190.63,1605.01,0,20.65,0,0,0
 10-12,3.8,190.41,253.68,20.29,533.89,102.42,5348.02,145.09,1830.73,7.33,20.62,7.99,206.32,18.98
