stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,21.98,448.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.02,0,0,0,0,0,0
  5-6,48.96,1304.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.63,0,0,0,11.61,0,6.15,0,0,0,0,0,0
  7-9,24.9,14.96,35.41,0,0,0,56.55,0,0,0,23.44,0,0,0,0,0,0,0,0,0,643.02,3.25,0,0,116.03,0,0,4.58,0,0,0,0,0
 10-12,0,39.42,23.86,0,0,0,39.35,0,0,0,3.05,0,0,0,0,0,0,0,0,0,222.08,3.89,0,0,89.15,0,0,0,0,21.62,0,0,0
 14-21,0,0,6.57,47.75,6.87,0,5.03,0,2.19,1.92,0,0,0,0,0,0,11.12,0,0,8.39,26.55,0,0,7.04,1.89,0,1.8,0,16.67,1.7,7.9,19.4,0
 24-34,0,0,0,4.61,0,0,0,0,0,0.92,0,0,0,0,0,0.69,3.44,0,0,0.78,10.11,0,4.51,0,0,0,1.88,0,0,0,0,6.36,0
 36-46,0,0,0,4.89,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,1.11,1.61,0,0,0,0,0,0.66,0,0,1.03,0,0,0
 48-58,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0.56,1.75,0,0.88,0,0,0.47,1.71,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.1,0,0,0,0.81,0,1.96,0,0,0.89,0.7,0,0,3.75,0,0,0,0,0,0,1.21,0,0,2.63,0,0,0,0,2.8,0
 84-94,0,0,0,1.77,0,3.04,0,0,0,0,0,1.14,0,0,0.71,0,2.39,0,0,0,1.23,0,0,0.66,0,0,4.85,0,0,0,0,0,1.98
 96-106,0,0,0,1.61,0,0,1.8,0,0.78,0,0,0,0,0,1.31,7.59,3.76,0,1.14,0,4.12,0,0.6,2.4,0,0,1.35,0,0,0.71,0,0,0
108-118,0,0,0,1.35,0,0,0,1.66,0,0,0,0,0,1.18,0.55,0,2.37,0.43,0,0,0,0,1.77,0.43,0,0,0,0,0,0,0,0,0
120,0,0,0,6.23,0,0,0,0,0,0,0,0,0,0,1.88,0,3.44,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0
