stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.38,0,0,3.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,20.37,0,0,0,0,0,5.97,0,0,8.94,0,0
 24-34,0,0,2.42,0,0,0,0,2.26,0,0,0,0,0,0,0.9,318.59,4.74,0,0,0.97,0,37.35,0,0,32.81,0,0
 36-46,0,0,56.66,0,0,0,0,0,0,0,0,0,0.66,0,0,670.85,4.98,0,0,0,0,79.8,0,0,33.76,0,0
 48-58,5.5,0,322.93,0,0,4.56,0,0.67,0,0.89,0,0.48,3.69,0,1.08,948.45,0,0,0,0,0,110.49,0,0,23.61,0,0
 60-70,1.79,0,1258.26,1.07,0,7.99,0,16.2,0,0,0,0,4.4,0,0.6,1669.79,4.53,0,0,0.69,1.35,198.67,0,0,25.76,1.13,1.66
 72-82,3.62,0,641.51,0,0,17.16,0,3.34,0,0,0,0,3.92,0,0,1127.74,1.51,0.88,0,0,0,124.63,0,1.34,55.21,0,10.14
 84-94,1.51,0,408.2,0,1.68,7.21,0,1.02,0.6,0,0,0,9.39,1.23,0,588.69,4.44,1.29,0,0,0,50.05,0.85,0,35.52,0,0
 96-106,1.32,0,230.77,6.3,0,3.61,0,0.73,0.77,0.75,0,0,2.09,0,0,452.14,0.92,0,0,5.27,0,10.28,0,0,59.02,0,0
108-118,7.7,0,153.14,0,0,5.59,0,1.82,0.82,0,0,0,4.39,0,0,433.65,0.57,0,0,0,0,24.68,0,0,40.66,0,0
120,3.4,0,150.56,0,0,12.2,3.14,1.91,0,0,2.11,0,9.47,0,1.49,475.71,0,0,0,0,0,30.62,0,0,63.43,0,0
