stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.2,1307.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.41,0,0,0,0,0,0,0,0,0
  5-6,23.95,554.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.05,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.63,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,24.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,24.96,2.04,1.95,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.13,0,0,0,0,0,0,0,0,81.96,0,0,0,0,0
 24-34,0,0,6.86,0,12.53,0,3.87,0,0,0,1.45,0,0,0,0,0,0,0,0,6.11,0,0,522.53,0,25.9,0,0,8.2,0,0,1.22,235.09,0,0,0,0,0
 36-46,0,0,0.73,0,2.38,0,39.81,0,1.39,0,0.78,0,0,0,0,0,0.71,0,0,5.14,0,0,1260.09,0.63,35.97,0,0,7.59,0,0,0,392.42,0,0,0,0,0
 48-58,0,0,1.34,0,12.55,0,174.97,0,0,0.95,20.22,0,0,0.47,0,2.03,0,0,1.72,9.1,0,0,1675.82,0,28.75,0,0,1.98,0,0,0,448.19,0,0,0,0,0.91
 60-70,0,0,0,0,5.36,0,880.25,0,1.34,0,5.5,10.91,0.66,0,0.93,0,0,0,0,25.27,0,0,2327.79,0,38.84,0.63,0,4.78,0,0,0,528.91,2.43,0,1.09,0,6.78
 72-82,0,0,7.06,0,42.46,4.87,1136.81,0,0,9.86,22.71,30.67,0,0.64,0,0.57,0,0,0,12.23,0,0,1986.79,0,53.4,2.79,0,5.04,4.96,0,0,303.35,13.41,1.34,0,0.76,0
 84-94,0,0,2.14,0,29.28,5.13,644.04,0,1.47,0.77,21.74,48.11,0,0.91,0,1.34,3.86,0.83,0,11.02,0,3.32,1452.74,0,21.84,1.55,0,4.7,0,0.73,0,214.84,23.87,1.23,5.46,1.34,6.17
 96-106,0,0,2.36,0,7.55,1.17,736.9,0,0.91,0,29.79,45.52,0,0,0,0,1.51,4.97,0,33.41,6.67,0.57,1317.96,0.91,40.33,6.14,0,9.98,6.78,0,0,53.43,45.51,0,2.63,0,0
108-118,0,0,0.97,0,29.01,2.84,559.18,1.21,3.4,1.34,47.35,33.03,0,1.02,0,2.72,0.67,0,0,28.88,0,2.63,1555.09,0,34.01,4.29,0,11.04,0,1.88,0,84.78,81.87,0,3.34,1.03,0
120,0,0,6.58,0,16.62,0,437.71,0,0,0,33.67,78.88,0,0,0,0,1.69,13.18,0,33.75,0,2.83,2498.17,0,76.93,9.31,0,13.03,0,2.43,1.63,175.54,9.88,0,7.77,0,0
