stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,61.28,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,10.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,1.22,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,4.77,3.05,0,0.79,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,388.9,0,0,1.29,32.47,0,0,0,0,0,0,0,0.91,0,0,0,0,0
 48-58,0,0,2.99,0.42,0,46.29,0,0,0,10.45,0,0,0,0,0,0,0,0,4215.79,0,0.56,9.22,93.93,0,0,0,0,1.08,0,0.65,20.04,0,0.44,0.63,0,0
 60-70,0,21.83,16.45,0,0,118.79,0,0,3.64,25.72,0,0.77,8.52,0,0,0.69,0,1.22,9005.77,3.12,7.03,0.69,223.85,0,2.02,0,0,24.34,0,0,34.12,0,5.94,0,0,7.06
 72-82,0,1.72,253.11,27.18,0,1764.28,1.1,1.48,9.53,23.92,3.81,1.04,3.56,329.12,0.54,1.61,11.6,0,28514.72,1.06,4.82,15.34,364.17,0.52,5.43,0.97,0,57.96,0,0,46.87,6.52,0.88,31.6,3.69,23.26
 84-94,0,0,42,17.19,0,657.01,4.89,0,4.87,13.4,40.81,1.57,0.78,9.71,0,0,0,27.72,37475.06,1.84,0,20,190.78,5.19,0,0,0,20.55,0,0,44.39,0,2.89,2.04,4.73,2.62
 96-106,0,2.05,299.17,35.12,0,840.61,1.46,1.96,13.06,510.02,7.39,4.18,10.03,99.4,0.67,0.92,1.45,0,31070.36,20.51,1.38,6.49,914.73,0.79,6.21,4.78,6.07,37.31,0,0,12.83,5.24,8.66,262.76,18.41,0
108-118,0,0,19.71,19.83,7.71,1016.46,2.49,239.8,315.18,54.7,9.74,0.89,1.63,16.81,0.64,1.28,8.63,0,27417.14,1.08,4.46,16.66,466.66,0.44,4.06,7.85,6.47,30.62,0,1.48,7.87,7.37,5.33,10.93,3.1,1.94
120,0,0,119.59,6.27,4.78,75.77,2.05,4.6,6.07,63.85,1.74,0,0,119.48,0,0,0,0,27217.48,0,3.53,57.78,671.27,0,0,0,0,18.81,0,0,2.39,0,6.76,6.25,0,15.67
