stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,46.98,714.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1,0,0,0,0,0,0,0,0,0,0
  5-6,20.04,418.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.21,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.13,0,7.16,0,0,0,15.87,0,0,0,0,0,29.34,0,0,0,0,0,0,0,0,0,0,0,81.13,9.19,0,0,26.67,0,22.82,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.75,0,0,0,0,0,0,0,0,0,25.16,0,0,0,0,0,3.73,0,0,0,0,0,154.98,19.51,0,0,3.53,0,12.08,4.8,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,1.11,7.16,38.66,0,0,0,0,0,0,0,1.28,0,0,0,12.68,0,0,35.62,0,6.71,0,0,5.29,56.62,4,0,7.04,0,0,50.4,0.91,1.73,7.89,38.73,29.11,0,0,1.05,0,0
 24-34,0,0,2.76,4.14,46.98,0,0,12.96,0,2.37,0,1.39,1.35,5.19,0,4.33,2,0,4.31,30.53,1.28,9.86,0.66,0,7.76,249.35,13.89,4.73,5.62,0,0,129.51,0,0,2.43,12.09,90.53,0,0,0,0,3
 36-46,0,0,0,0,23.87,0,0,43.43,0,2.32,0,19.93,0,15.83,0,2.12,1.15,0,3.84,22.92,8.85,13.9,0.65,0,8.08,271.75,14.26,1.55,3.95,0,0,185.32,0,0,0,0,122.11,0,0,0.75,0,11.49
 48-58,0,0,0,0.63,19.24,0,0,169.89,1.93,0.9,0,50.24,2.92,22.48,0,16.99,4.91,0.41,5.77,15.06,3.13,32.63,1.37,0,9.82,414.41,11.36,1.78,13.05,0,0,88.19,0,7.41,3,0,103.91,0,0,0.5,0,21.34
 60-70,0,0,1.52,0,31.46,0,0,414.52,0,3.63,0,192.45,5.44,24.18,0,30.71,0.67,5.32,4.95,5.47,0,27.96,5.26,0,7.6,534.05,21.71,2.27,5.83,0,0,87.56,0,1.06,0,0,58.27,0.65,0,0,0,20.64
 72-82,0,0,4.03,0,18.22,7.89,0.52,257.45,8.97,7.59,0,251.95,7.85,5.32,0,14.2,0,0.55,3.05,5.77,4.38,63.31,0,0,0.74,818.29,1.33,1.33,9.59,0,1.4,40.5,0,0,0.53,0,86.63,8.93,1.23,0.63,1.09,13.16
 84-94,0,0,8.51,0,58.81,0,0.92,319.13,8.54,5.09,0,167.45,13.26,3.55,0,24.77,8.6,0,1.68,12.44,4.37,42.52,3.55,1.84,1.78,562.24,3.87,3.55,6.67,0,0,85.11,0,4.91,0,0,77.14,25.33,6.42,0,0.75,19.33
 96-106,0,0,8.26,0,26.67,1.21,4.76,218.88,3.83,0.63,3.93,188.36,13.26,1.06,3.1,30.41,2.75,0.97,8.24,17.53,0,64.97,8.57,3.68,5.02,627.46,1.76,10.08,2.26,0,3.28,100.2,0,0.88,0.57,0,32.78,30.13,0,2.78,3.08,17.45
108-118,0,0,3.1,0,32.69,2.82,24.65,292.42,0.5,3.61,0,274.37,24.62,0,0,24.66,4.14,0,10.59,18.82,0,67.65,10,1.4,5.23,652.07,2.1,3.14,13.68,0,1.22,72.99,0,1.5,2.21,0,46.58,44.34,4.37,0,0,19.68
120,0,0,9.93,0,107.76,0,8.17,278.21,0,3,0,479.82,33.68,0,0,49.98,1.06,0,10.52,9.37,0,106,6.82,1.38,15.54,1065.91,0,0,14.19,0,0,59.37,0,2.89,0,0,42.87,20.22,0,0,0,2.85
