stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,37.71,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0
  5-6,43.77,1185.9,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,47.24,0,0,0,0,21.28,0,0,0,0,0,0,0
  7-9,40.17,74.84,0,89.52,0,0,309.74,0,0,0,0,79.69,0,0,0,0,0,0,0,0,0,2226.25,51.36,0,0,816.56,7.16,0,0,0,0,0,0,0
 10-12,0,111.73,0,173.68,0,16.1,320.8,0,0,0,0,55.05,0,0,0,0,0,0,0,0,0,2206.77,25.91,0,0,720.05,12.41,5.62,0,66.12,0,0,0,0
 14-21,0,0,0,2.05,116.53,13.73,11.18,0,0,0,3.85,0,1.98,0,1.07,0,0,28.27,0,0,7.2,87.31,0.99,0.85,0.95,8.23,12.77,0,26.71,1.68,7.62,18.93,0,0
 24-34,0,0,0.84,1.99,19.18,0,6.9,0.63,0,1.67,3.51,0,0,0,1,0,0,15.53,0.74,0,6.5,54.06,0,0,1.04,0,4.56,0,0,0,1.09,15.4,6.1,0.91
 36-46,0,0,0,0,0,0,4.03,0,0,0,0.95,0,0,0,0,0,0,3.4,0,0.55,1.04,18.87,0,0,0.89,0,2.76,0,0,0,0,0.64,0,0
 48-58,0,0,0,0,0.63,0,2.47,0,0.81,0.67,0,0,0,0,0,1.31,1.1,1.53,0,0,0,7.73,0,1.72,0,0,0.52,0,0,0,0,0.66,0,0
 60-70,0,0,0,0,0.95,0,1.21,0,0,1.42,0,0,0,0,0,0,0,2.26,0,0,0,15.82,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.04,3.86,0,0,0,0,0.7,0,0,1.21,0,0,0,2.31,0,0,0,8.81,0,0,1.07,0,1.09,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.94,0,0,0,2.16,0,0,0,0,0,0,3.37,0,0,0,3.74,0,0,0,0,8.35,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0.79,0,0,0,8.62,0,0,2.2,3.61,0,0,0.85,0,0.81,0,0,0,0,0,0,0
108-118,0,0,0,0,0.47,0,0,0,0,1.25,0,0,0,1.01,0,7.04,0,0,0.7,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0
