stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.01,0,5.1,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.51,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,7.48,0,8.32,0,34.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.16,0,0,0,35.93,0,0,0,10.11,0,0,0,0,0,0,0
 14-21,0,0,1.33,35.01,1.18,0,3.02,0,0,0,9.73,0.82,0,0,0,0,0,0,3.64,27.72,0,0,43.99,50.66,11.04,0,1.32,0,0,0,3.43,0,1.89,15.54,97,0,0,0,0
 24-34,0,0,1.85,62.18,0,0,2.25,0,1.04,0,9.29,0.67,1.92,0,0,0,0,0,0,81,0,3.15,52.44,233.66,74.35,0,1.8,0,2.13,20.06,0,0,21.03,1.21,180.97,0,2.2,0,0
 36-46,0,0,0,26.15,1.32,0,2.87,1.83,2.99,0.57,23.12,0,0,0,0,0,0,0,0,104.58,0.56,3.83,21.91,489.19,80.72,0,0,0,0,11.3,0,10.34,27.69,0,276.81,0,1.37,0,12.48
 48-58,0,0,0,11.65,1.51,0,43.97,0,0,0.48,24.24,0,0,1.22,3.62,5.32,0,0,0,115.19,0,3.79,20.4,960.9,54.21,0,1.92,9.55,0.53,12.84,0,0,23.95,0,380.9,0,0.77,0.78,0
 60-70,0,0,0,16.44,0,0,34.01,0,0.61,0.81,47.54,0,0,0,0,0,0,0,0,205.73,0,18.95,38.46,1117.23,31.51,0,0,0,0,2.82,0,0,8.53,0,520.74,8.47,0,0.98,0
 72-82,0,0,0,5.48,2.13,6.71,74.77,0,1.17,0,46.19,0,0,0,0,1.06,0.99,0.96,0,208.06,0,4.29,20.95,977.38,9.95,0,2.21,0,0.71,0,0,0,1.06,0,311.25,6.64,1.21,7.34,0
 84-94,0,0,0,11.3,0,5.99,67.77,0,0.58,2.94,32.16,2.14,2.41,0,0.69,0,0,0,7.38,197.76,0,19.32,12.64,532.84,24.92,0.58,1.58,0,0,0.68,0,0,1.98,0,267.74,10.62,0.63,13.64,0
 96-106,0,0,0,6.36,1.27,11.13,24.29,4.93,0,0,44.87,0,3.17,0,0.68,3.6,1.93,6.7,0,149.06,0,11.33,23.12,468.05,13.36,1.94,0.57,0,0.79,1.88,0,0.62,3.69,0,97.32,8.55,3.82,14.2,0
108-118,0,0,0,22.93,1.66,63.26,35.58,3.76,3.87,0,42.64,1.86,0,0,0,0,0,0.69,13.2,247.07,0,6.09,14.19,663.9,19.84,1.02,1.53,0,0,4.26,0,0,2.79,0,60.99,10.31,2.67,15.25,2.32
120,0,0,0,15.55,0,31.38,72.7,0,0,0,10.67,3.94,0,0,0,0,1.48,0,0,296.37,1.63,11.37,25.65,1092.4,39,0,18.49,0,0,0,0,0,10.96,0,42.07,29.18,6.49,47.51,0
