stage,endocrine.pancreas,eye,glial,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord
  3-4,0,0,0,0,0,0,20.6,0,0
 10-12,0,0,0,0,12.54,0,0,0,0
 14-21,0,0,3.78,0,1.76,0,0,0,8.3
 36-46,0,0,0,0,3.22,0,0,0.58,1.62
 48-58,0,0,0,0,0,0,0,0,3.88
 60-70,0,0,0,0,0,0,0,0,3.38
 72-82,0,1.83,0.73,0,0,0,0,0,9.34
 84-94,0,0,0,0.91,1.07,0.78,0,0,0.63
 96-106,0,0,3.81,0,0,0,0,0,1.96
108-118,0,0,0.91,0,2.75,0,0,0,2.58
120,3.99,0,14.35,0,0,16.34,0,0,0
