stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,21.72,275.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.07,114.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.02,0,0,0,3.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.09,0,0,0,10.33,0,0,0,0,0,46.12,0,0,0,0,0,0,0,0,0,0,69.41,0,0,0,8.04,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.95,28.85,0,20.53,0,0,0,0.87,0,0,0,0,0,0,0,1.01,0,0,0,21.45,61.18,1.33,0,0,0,0,20.13,0,31.2,155.98,6.15,0,0,0
 24-34,0,0,0,1.24,0.79,0,0,29.47,0,0,0,6.78,2.1,0,0,0,1.5,0,2.34,0.78,10.38,0,0,5.64,86.29,0,0,0,0,1.66,0,10.41,0.82,65.59,10.92,0,5.68,0
 36-46,0,0,0,0,0.83,0,0,26.59,5.4,0,0,1.99,0.67,0,0,0,0.63,0,3.31,0,5.58,0,0,9.27,45.63,0,1.82,0,0,2.51,0,0,0.66,1.13,5.4,0,0,0
 48-58,0,0,0,0,0,0,0,15.3,0.77,0.9,0.88,4.1,2.21,0,0.46,0,1.59,0,7.06,0,7.19,1.67,0,5.26,36.99,0,0,0,0,0.42,0,0,0,0,3.72,0,0.41,0
 60-70,0,0,0,0,0.8,0,1.03,9.78,2.32,0,1.25,17.74,3.35,0,0,0,0,0,24.06,0,6.66,0,0,6.97,49.96,0,0,0,0,0,0,0,0,0,2.73,0,0,0
 72-82,0,0,0.5,0,6.32,2.16,20.56,22.67,3.23,0,0.5,22.07,3.52,0,0,1.37,0.89,0,95.71,0,20.51,0,0,15.36,50.11,0.69,1.04,0.49,0,1.26,0,0,0,0,4.33,0,1.44,7.11
 84-94,0,0,0,0,2.47,0.74,33.8,20.97,0,0,1.08,7.72,7.9,0,0,0,0,0.67,96.23,0,15.85,0.75,0,24.11,57.81,0,0,2.9,0,6.23,0,1.56,0,0,6.39,0,0,0
 96-106,0,0,0,0,10.72,8.15,39.17,20.92,5.83,0.66,0,28.32,7.45,0,0,1.7,0,0,203.72,0,47.06,0.71,3,18.4,81.61,0,0,0,0,16.26,0,0,0,0,4.68,0,0.65,0
108-118,0,0,1.11,0,46.73,9.79,143.24,47.47,3.9,5.35,2.38,56.37,7.17,0,0,1.14,0.55,0,296.46,0,68.76,0,0,32.09,94.96,0,1.1,1.07,0,6.88,0,0.44,1.55,0,5.47,0,4.56,5.35
120,0,0,0,0,59.84,9.08,24.07,28.84,5.65,8.76,12.74,31.16,27.63,0,0,0,0,2.12,154.36,0,34.52,3.49,0,24,128.67,0,0,3.65,0,35.88,0,0,1.69,0,11.67,3.84,1.26,0
