stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,29.02,0,0,0,0,0,0,0,0,25.96,0,0,3.81,0,16.34,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,0,0,0,0,0,0,0,0,0
 14-21,0.96,1.03,0,0,0,0,4.58,0,0,0,0,0,2.73,0,1.93,13.54,0,0,0.87,0,0,0.87,1.77,1.72,0,0,0,0
 24-34,0,0,4.9,0,4.7,0,2.17,0,0,0,0,0,0,0,0.94,53.65,0,0,0,3.17,0,0,2.59,7.71,0,0,0,0
 36-46,0,0.67,6.64,1.19,0.76,0,0,0,0,0,0,0,1.67,0,0,19.99,0,0,0,2.91,0,0,0,12.28,0,0,0,0
 48-58,0,0,19.38,0,4.18,0,0,0,0,0,0,0,5.14,0,4.78,21.88,0.64,0,0,6.49,0,0,0,7.72,0,1.47,0,0
 60-70,2.81,0,29.21,0,3.06,1.86,0,0,0,0,0,0,4.38,0.64,0,42.79,0,0,0,0,0,0,0,3.89,0,0,0,0
 72-82,3.71,6.34,8.1,0,2.65,0.63,0,0,0,0.81,0,0,9.18,0,0.68,16.55,1.22,1.42,0,0,0,0,0,0.88,0,5,0,0
 84-94,2.27,3.86,7.36,0,4.08,0.57,0,0,0,0,0,0,8.17,0,3.04,24.67,5.13,0,0,3.01,0,0,0,1.44,0.71,2.55,0.82,0
 96-106,0,0,13.29,0,2.14,0,0,0,0.78,0,0.7,0,10.12,0,0,9.33,1.4,0,0,0,0,0,0,6.41,0,0,0.86,0
108-118,0.46,0,16.12,0,5.46,0,0,1.04,0.78,0,0,0.6,7.51,0,1.34,30.54,1.42,0,0,1.2,0,0,0,0,0,0.43,0,1.42
120,7.53,0,9.51,0,4.16,1.42,0,0,0,0,0,0,30.58,0,0,50.65,0,0,0,3.22,0,0,0,0,0,0,0,0
