stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,mesenchyme,neural,otic,periderm,pronephros,spinal.cord,vasculature
 10-12,0,0,7.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.85,0,0,0,1.09,0
 24-34,0,0,0.76,0,0,0,0,4.04,0,0,0,0,0
 36-46,0,0,1.31,0,0,0,0.71,2.71,0,0,0.72,0.66,0
 48-58,5.65,0,0.6,0,0.93,0,0,4.13,0,0,0,0.53,0.52
 60-70,0,0,0,0,0,0,0,1.41,0,0.83,0,0,0
 72-82,0,0,0,0,0.59,0,2.25,3.03,0,0,0,0,1.03
 84-94,0,0,0,0,0,0,2.04,13.22,0,0,0,0,1.25
 96-106,0,1.73,0.99,0,0,0.96,0,3.49,0.6,0,0,5.24,0
108-118,0.43,0,0,1.36,2.12,0,0,1.46,0,0.62,0,0,5.71
120,0,0,0,0,18.98,0,0,21.08,0,0,0,0,0
