stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,57.07,567.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0
  5-6,76.11,1246.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.93,0,0,0,46.63,21.69,0,0,0,0,0,0,0
  7-9,35.45,55.64,0,60.08,0,0,193.49,0,0,0,0,0,38.59,0,0,0,0,0,0,0,0,0,1121.91,64,0,0,353.28,0,0,12.83,0,0,0,0,0
 10-12,3.8,38.98,0,53.29,0,0,94.64,0,0,0,0,0,37.47,0,0,0,0,0,0,0,0,0,1029.95,37.94,0,0,294.4,0,0,47.45,0,0,0,0,0
 14-21,0,0,0,0,2.18,1.88,0,0,0,0,0.88,0,0,0,0,0,0,0,2.09,0,0,1.88,9.04,0,0,0,0,4.33,3.23,0,0,6.99,9.32,1.26,0
 24-34,0,0,0,0,0,1.27,7.61,0,0.62,0,1.52,0,0,1.36,0,0,0,0,1.07,0,0,5.36,100.77,0,2.6,1.32,0,9.22,0,0,0,2.26,17.99,0,0
 36-46,0,0,0,0,0,0,8.42,0,5.92,0.87,0.63,0,0,0,0,0,0,0.67,5.12,0,0,2.76,112.48,0,0,0.62,0,14.17,0,0,4.82,0,22.24,6.39,0
 48-58,0,0,0,0,2.2,0,32.43,0,0,0.41,9.15,0,0,0.52,0.4,0,0,1.87,12.91,0,0,1.95,89.46,0.56,0,1.19,0,1.23,0,0,0,0,22.45,0.48,0.83
 60-70,0,0,0,0,10.81,0,32.99,1.06,0,0,9.39,0,0,0.69,0,0,0,5.1,13.98,0,0,1.01,69.51,2,0.7,0,0,0.57,0,0,0,0,4.02,0,1.29
 72-82,0,0,0,0,3.75,0,35.39,0,2.73,0,7.41,0,0,0,0,0,0,0,15.36,0,0.89,1.36,58.59,0,0,0,0,4.12,0,0,0,0,15.8,3.07,0
 84-94,0,0,0,0,3.12,12.79,46.58,0,2.15,0,6.53,0.77,0,0,0,2.52,0,0,19.64,0,0,0.69,36.68,0,0,0,0,8.79,0,0,0,0,5.44,2.16,0
 96-106,0,0,0,0,0.89,6.41,43.79,0,0,0,8.81,0,0,0,0,0.73,0,0,9.03,0,1.17,0,19.45,0,2.73,0,0,5.2,0,0,0.7,0,6.68,0,0
108-118,0,0,0,0,6.44,4.44,17.47,0,0,0,3.29,1.42,0,0,0,0.54,0.49,1,4.23,0,0,2.94,32.45,0,0,0,0,6.29,0,1.54,0,0,11.34,0,2.73
120,0,0,3.99,0,1.87,11.24,30.02,0,0,0,27.09,4.03,0,0,0,0,0,0,11.41,6.68,0,0,59.58,0,0,0,0,3.01,0,0,0,0,0,0,7.26
