stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,neural,periderm,somites,spinal.cord
  3-4,0,33.34,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,34.49,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.67,0,0,0
 14-21,0,0,0.89,0,0,0,0,0,0,1,0,0.83,0
 24-34,0,0,0,0.64,0,0,0,0.62,0,5.05,3.13,0,0
 36-46,0,0,0,1.13,0,2.68,0,0,0.87,3.78,12.41,0,0
 48-58,0,0,0.4,1.58,0,0,0,0,0.42,2.21,1.55,0,0
 60-70,0,0,0,0,4.01,0.88,0,0,0.94,5.45,1.13,0,1.35
 72-82,0,0,0,4.39,0,0,0,0,3.07,0.64,2.3,0,0
 84-94,0,0,0,0,0,0,2.92,1.18,0,0,2.39,0,0
 96-106,0,0,0,1.1,0,2.1,0,0,1.47,0.79,2.32,0,0
108-118,0,0,0.77,2.63,0,0,0,0,0,0,0.44,0,0
120,0,0,0,0,0,0,0,0,1.08,2.02,0,0,0
