stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0
  5-6,18.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,3.16,0,0,0,0,0,0,0
 14-21,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0.86,0,0,8.67,11.67,0,0,0
 24-34,0,2.65,0.62,0.85,0,1.01,0.83,0,0,0,0,5.04,0,13.32,5.77,0,0,0,7.88,17.57,0.69,0,0
 36-46,0,1.09,0,0,0,0,0,0,0,0,0,27.65,1.06,10.91,1.57,0,0,0,0,13.39,0,0,0
 48-58,0,0,0,1.06,0,0,0.45,0,0,0,0,99.36,0,17.21,15.65,0,0,0,0,11.87,1.94,0,0
 60-70,0,0.68,0,7.33,0,0,0.91,1.15,0.57,0,0,153.21,0,18.16,10.68,0,0,0,0,11.89,0,0,0
 72-82,0,0.92,0,6.63,0,0,2.34,1.16,0,0,0,221.41,1.02,22.02,23,0,0,1.88,0,10.74,0,0,7.83
 84-94,0,0.85,0,11.99,1.34,0,0,1.98,1.19,0.77,0.58,207.54,0,16.43,17.59,0,0,0,0,11.43,0,3.76,8.11
 96-106,0,0,4.14,23.72,0,0,0,1.14,0,0,0,136.94,3.08,3.99,12.04,0,0,0,0,7.19,0,0,10.64
108-118,0,3.82,0,0,0,0,0,1.15,2.06,0,1.17,148.99,0,5.21,6.25,0,0,0,0,8.27,0,3.2,13.55
120,0,0,0,20.05,0,0,0,0,0,0,0,137.56,0,15.96,3.25,0,0,0,0,2.04,0,0,14.25
