stage,blastomeres,mesenchyme,muscle,neural,notochord,periderm
  3-4,48.74,0,0,0,0,0
 24-34,0,0,0,0.78,0,0
 60-70,0,3.54,0,0,0,0
 84-94,0,0,2.2,0,0,0
 96-106,0,0,0,0,2.63,0
108-118,0,3.05,0,0,0,0.91
