stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,724.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,0,0,0,0,0,0,0,0,0,0
  5-6,291.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,63.86,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.26,0,0,0,13.99,0,21.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.97,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.92,3.12,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.52,6.56,2.18,0,0,0,0,1.93,0,0,0,0,0,0,4.03,0,0,0,8.89,0,0.86,0,0,0,28.43,4.6,0,0,0.84,4.1,0,0,0,0,0
 24-34,0,0,2.32,3.14,0,27.37,0,0,0,0.63,1.99,0,0,19.73,0,0,0,6.1,0,1.52,0.92,53.27,0,0,1.52,0,0,37.29,0,0.6,0,0,6.08,0,0,2.58,0,0
 36-46,0,0,0,8.96,0,3.62,0,0,0,3.72,0,0,0,23.11,0,0.61,0,11.05,4.32,0,11.82,42.63,0,0,0,0,0,42.55,0,1.34,0,0,7.56,0,0,0,0,0
 48-58,0,0,0,4.27,1.45,9.98,0.53,2.32,0,0,0.64,0,1.15,46.23,0.39,0.58,0,13.44,4.13,0,1.95,28.21,0.39,0.96,0.37,0,0.73,12.58,0,0,0,0,8.01,0,0,0,0,0
 60-70,0,0,0,3.78,0,16.56,0,2.59,2.5,5.32,2.94,0,0,67.16,0,0,0.81,28.46,3.06,0.76,0.8,23.76,0,0.9,1.29,0,0,27.65,0,0,0,0,18.03,0,0,3.07,0,0
 72-82,0,3.27,0,6.16,3.86,12.32,0,3.84,0.61,7.84,8.62,0,0,52.38,0,0.67,8.67,29.33,3.04,6.01,2.25,33.3,0,0,0.56,0,0,12.23,0,4.52,0,0,0,0,0,2.37,0,0
 84-94,0,0,0,10.71,0.7,19.59,0,0.56,1.79,2.69,8.93,1.22,0,89.38,0.57,0,5.16,26.1,3.28,0,0.69,14.98,0,1.26,3.4,0,0,41.97,0,0,0,0,0,1.27,1.04,4.71,0,0
 96-106,0,5.86,0,4.35,6.97,9.06,0,0,3.11,4.76,6.53,0,0.68,75.35,2.09,3.74,3.64,41.74,10.57,1.11,0.64,28.94,0,1.49,0.61,0,0,34.24,0,1.09,0,0,3.42,0.79,2.18,4.37,0,1.06
108-118,0,0,1.06,9.34,0,3.55,0,0.61,0,5.15,11.18,0,1.62,62.06,0,0.5,13.64,30.53,7.89,1.56,0.51,14.07,0,1.78,3.5,0,0,26.71,0,1.54,0.86,0,0,0,1.36,10.06,6.71,0
120,0,7.98,0,8.53,1.11,14.01,0,7.42,0,6.29,11.27,0,0,132.9,0,6.67,4.35,38.07,17.7,0,0,51.85,0,3.8,8.05,0,9.57,22.97,0,0,0,0,0,0,4.4,43.6,1.8,0
