stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,10.89,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.58,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,56.19,0,0,0,28.41,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,2.16,0,0,0,0,0,0,0,0.84,1.01,0,0,0,0,0,0.83,0,0,3.67,4.21,1.17,0,1.65,2.35,0,0,6.78,3.13,18.38,7.35,0,0,0,0,0.84
 24-34,0,0,1.56,0.65,0,0,0,0.8,0,0,0,10.01,0,0,1.79,0,0,4.32,0,0,5.79,14.12,0,0,1.99,0,0,0,0,1.9,6.45,2.61,0,0,3.44,0,0
 36-46,0,1.32,0,1.32,0,0,0,2.15,1.38,0,0,48.8,0,0,5.09,0,0,3.96,0.71,1.32,0.63,9.96,0,0.74,2.11,0,0,3.67,0,0,0,4.81,0,0,0.66,0,0
 48-58,0,0,0,3.42,1.22,0,0,5.16,0,0,0,13.39,0,1.37,3.45,0,0,9.56,0,0,0.38,7.55,0,1.15,0.59,0,0,1.35,0,0,0,2.22,0,0,8.96,0,0.59
 60-70,0,6.18,0,8.11,0.67,0.69,0,5.21,0.65,0,0,74.26,0,0.85,9.22,0,4,19.56,0,0,8.02,19.95,0,0,3.1,0,0,4.65,0,0,0,7.36,0,0,3.21,0,0
 72-82,0.68,2.31,0,1.76,0.76,0,1,7.36,2.14,0,0,19.75,0.65,1.25,4.39,0,0,56.11,0,2.71,1.37,19.44,0,0.56,0.53,0,2.17,0,0,1.5,0,0.96,0,0.91,11.16,1.27,0
 84-94,0,2.79,0,7.86,1.16,0.58,0,11.28,2.61,0,0,40.29,1.12,2.18,5.24,0,0.91,37.65,0,4.47,5.18,34.27,0,1.1,1.59,0,0,1.59,0,0,0,0,0,1.15,5.37,1.87,8.49
 96-106,0,18.38,3.08,25.52,1.36,1.79,0,9.79,3.09,0,0,67.89,0,5.63,19.47,0,0,67.54,0.72,4.97,7.24,17.82,0,3.57,2.1,0,0,5.11,0,0,0,8.18,0,0,9.96,3.32,3.9
108-118,0,22.98,1.97,8.34,2.43,0.94,1.79,3.81,7.74,0,0,67.72,1.41,13.05,7.09,4.66,0,106.32,0.51,4.82,7.31,28.93,0,1.02,2.38,0,5.47,9.62,0,0,0,0,2.51,6.99,14.93,1.7,1.85
120,0,15.41,0,11.74,1.58,0,0,15.53,5.58,0,0,67.46,1.48,15.7,11.28,0,0,96.34,0,0,2.52,18.98,0,2.4,3.46,0,0,3.02,0,0,0,0,0,3.9,13.37,0,3.58
