stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,36.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0
  7-9,5.66,0,0,0,0,0,0,0,0,0,0,0,31.14,7.59,0,0,21.11,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,0,5.1,0,0,0,0
 14-21,0,0,0,2.82,1.2,0,0,1.24,0,0,3.06,0,19.5,0,0,0.88,1.28,0.89,1.71,1.84,7.12
 24-34,0,0,0.76,1.3,0,0.68,0,0,0,0.65,0.77,0,8.8,0.64,0,0.64,0,1.27,0,0,7.59
 36-46,0,0,0,0,0,1.91,0,0,0,0,1.76,0,18.26,1.62,1.47,0,0,0,0,0,3.11
 48-58,0,0,0,0,0,1.76,0,1.09,0,0,0.38,0.43,23.04,0,0.43,0,0,0,0,0,1.07
 60-70,0,0,0,1.98,0,2.53,1.28,0.91,0,0,1.22,0,21.59,0,0,0,0,1.23,0,0,3.24
 72-82,0,0,0,0,0,2.34,0,1.69,0,0,0,0,21.15,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.2,0,0,0.61,0,0,0,8.08,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,5.45,12.04,0,0,0,0.86,0,0,15.29,0,0,0,0,0,0,0,0
108-118,3.02,0,0,0.72,0,3.37,0,1.35,1.23,0,0,0,5.85,0,0,0.91,0,5.52,0,0,1.9
120,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,7.84
