stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,189.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0
  5-6,0,218.76,0,0,0,0,0,0,0,0,0,0,160.66,14.47,0,9.41,0,0,0,0,0
  7-9,10.7,28.83,70.88,0,0,12.31,0,0,0,7.82,0,0,762.18,56.81,0,980.96,0,0,0,0,0
 10-12,0,0,62.57,0,0,0,0,0,0,0,0,0,309.95,26.14,0,705.57,0,4.36,45.38,34.92,3.28
 14-21,0,0,0,2.08,1.06,0.84,0,0,0,0,0,6.74,18.74,2.03,0,3.62,0,189.67,2.38,134.57,19.14
 24-34,0,0,0,0,0,0,0,0,0,0,0.85,0,9.44,0,0,0,0,2.17,0,13.71,1.86
 36-46,0,0,0,0,0,6.18,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,1.76
 48-58,0,0,0,0,0,2.61,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71
 72-82,0,0,0,0.52,0,0,0.57,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,9.11,1.88,0,0,2,0,4.82,0,2.03,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.79,0,0,0,0.58,0,0,0,0,0,0,0,0
