stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,2.6,22.97,9.81,0,17.29,0,0.87,0,8.94,0,0,0,4.28,0,0,0,11.1,0,0,11.84,278.33,0,0,0.89,0,0,21.18,10.59,0.86,1.74,12.42,67.21,0,0,5.24,0,0
 24-34,0,0.83,0.65,2.35,5.24,2.17,0,56.5,0,0,1.15,5.11,0.77,0,0,0.79,0.92,0.63,0,22.03,0,0,7.74,381.63,2.06,1.62,1.32,0,1.14,16.94,0,0,0,0.68,67.47,0,0,7.83,0,0
 36-46,0,0,0,0,3.12,0,0,70.82,0,0.86,0,8.6,0,1.33,0,0,0,0,0,6.74,0,0.8,4.61,201,0,5.24,0,0,0,19.86,0,0,0,0,46.98,0,0,7.94,0,0
 48-58,0,0,0,0,2.98,0,0,98.62,1.37,1.77,0,28.09,0,0,0,0,3.23,0,0.48,12.6,0,2.25,3.03,186.89,4.4,1.3,0.37,0,0,4.23,0,0,0,0,48.04,0,0,3.36,0,0
 60-70,0,0,0,0,4.18,0,0,81.89,0,0,0,20.87,0,0,0,0,0,0,0,3.62,0,0.65,3.44,141.16,1.87,0,0.77,0,0,2.33,0,0,0,0,15.52,0,0,0,0,1.17
 72-82,0,0,0.93,0,2.41,5.65,0,91.53,0,0,1.05,24.55,0,0.55,0,0,0.72,1.46,0,22.77,0,0,1.76,156.58,0,0,2,0,0,1.11,0,0,0,0,8.35,3.44,0,6.65,0,0.78
 84-94,0,0,0,0,2.18,0,0,33.75,1.92,2.28,0,11.65,0,0.88,1.41,0,0,0,0,15.69,0,0.85,1.18,90.8,0,2.78,0,0,0.57,7.33,0,0,0,0,3.11,1.46,1.08,2.9,0,0
 96-106,0,0,0,0,4.62,0,0,42.46,0.9,0,7.22,12.4,1.03,2.12,1.98,0.89,0,0,0,17.63,0,0,0,85.69,0,3.14,0.87,0,0,5.98,0,0,0,0,2.37,0,0,2.03,1.06,9.2
108-118,0,0,0,0,0,3.98,0.64,32.55,1.18,0.62,2.02,12.08,0.65,2.36,0,0.45,0,0,0,17.65,0.75,2.04,2.95,99.78,0,0.95,2.93,0,0,5.19,0,0,0,0,4.6,0,0,7.08,0.77,0
120,0,0,0,0,3.36,0,0,60.97,0,0,1.82,23.19,0,0,7.08,10.55,0,0,0,29.48,0,0,4.28,145.37,0,0,1.1,0,0,2.39,0,0,0,0,12.75,0,0,5.31,0,0
