stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,147.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,236.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.89,0,0,0,0,0,0,0,0
  7-9,4.32,8.73,0,0,26.6,0,0,11.61,0,0,0,0,0,0,0,158.06,0,43.13,0,0,0,0,0,0
 10-12,4.31,3.95,0,0,29.86,0,0,14.79,0,0,0,0,0,0,0,125.62,6.07,51.68,0,3.39,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.31,0
 24-34,0,0,0,0,3.01,0,0,0,0,0,0,0,0.95,0,0,4.44,0,0,0,0,0.65,1.78,0,0
 36-46,0,0,0,0.9,2.03,0,0,0,0,0,0,0,0,0,2.5,0.64,0,0,3.12,0,0,0,0,0
 48-58,0,0,0,0,7.89,0.67,0,0,0,0,0,0,0,0.98,0,11.24,0,0,0,0,1.36,0,2.21,0
 60-70,0,0,1.73,0,0,1.28,0,0,0,0,0,3.59,0,0,0,6.95,0,0,7.4,0,0,0,0,0
 72-82,0,0,2.16,0,2.29,0,0,0,0,0,6.84,0,0,6.94,0,7.15,0,0,0,1.87,0,0,0,1.53
 84-94,0,0,0,0,0,0,0,0,1.27,1.06,0,0,0,0.56,0,0,0,0,1.43,0,0,0,0,0
 96-106,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.22,0,2.4,0,0,0,0,0,0,0,0,1.31,0,0,0,0.53,0,0,0,0
120,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0
