stage,blastomeres,endoderm,fin.epithelia,mesenchyme,neural,periderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,11.43,0,0,0,0,0,0,0,0,0
  5-6,15.42,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.25,0,0,0,0,0
 10-12,0,5.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.55,2.08,0.81,3.12,1.19,0
 24-34,0,0,0,0,18.41,0,0,0,0,0
 36-46,0,0,0,0,14.09,0,0,0,0,0
 48-58,0,0,0,0,2.58,0,0,0,0,0
 60-70,0,0,0,0.7,0,0,0,0,0,1.15
 72-82,0,0,0,0.78,0.85,0,0,0,0,0.59
 84-94,0,0,0,2.64,3.07,0,0,0,0,2.71
 96-106,0,0,0.69,6.89,4.02,0,0,0,0,0
108-118,0,0.74,0,10.28,0.43,0,0,0,0,0
120,0,0,0,2.05,0,0,0,0,0,0
