stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.01,778.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.85,0,0,0,0,0,0,0,0
  5-6,56.97,290.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,20.1,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.66,4.25,0,0,7.25,0,0,15.66,0,0,0,0,0,0,0
 10-12,0,4.2,0,6.03,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.84,0,0,0,41.03,0,0,0,5.64,0,0,0,0,0,0
 14-21,0,0,0,0,3.61,0,0,1.94,0,0,0,0.83,0,0,0,0,0,0,0,0,0.86,0,0,0.87,22.52,0,0,5.54,0,0,2.44,0,0,7.3,0,0,0,0,0
 24-34,0,0,0,0,1.69,0.98,0,7.66,0,0,0,0.63,0.92,0,0,0,0,0,0,0.68,13.43,0,0,2.92,142.67,0,0.78,0,0,0,4.18,0,0,32.54,0,0,0,0,0
 36-46,0,0,0,0,17.56,0,0,21.83,10.17,0,0.57,11.59,0,0,0,0,4.15,0,0,1.14,8.47,0,0,4.05,180.75,0.66,1.14,2.84,0,0,0.57,0,0,35.21,0,0,0,0,0
 48-58,0,0,0.65,0,1.01,0,0,82.15,0,0,0.66,17.38,0,0,0.83,0,0,0,0,0.83,11.73,2.29,0.71,0.89,169.23,0,2.09,0.54,0,0,2.93,0,0,44.14,0,0,0,0,0
 60-70,0,0,0,0,8.01,0.57,0,88.67,0,6.14,0,18.92,0,10.11,0,0,0,1.16,1.34,0,6.29,0,0.59,0.75,193.98,2.09,0,1.63,0,0,4.73,0,0,22.88,0,0,0,0,0
 72-82,0,0,0,0,0.5,2.42,0,151.34,0,0,0,21.16,1.07,0,5.05,0,1.53,0.55,0,0,32.77,0,0.93,0.74,170.4,0,3.78,0.69,0,0,2.26,0,0.61,8.14,0,0.75,5.04,0,0
 84-94,0,0,0.66,0,4.22,0.86,0,85.71,0,1.76,0,22.74,0,0,0.84,0,0.57,1.99,0,0,35.73,0.61,4.15,0.8,76.2,0,1.39,4.68,0,2.56,13.49,0,0,9.01,5.07,0,0,7.33,0
 96-106,0,0,0,0,9.93,1.12,0,108.97,0,10.58,0,10.94,0.57,0,18.77,0.69,0,1.51,4.68,0,31.58,0,0,1.28,79.44,0,2.57,4.04,0,0,3.61,0,1.46,5.68,0,3.79,5.6,0,0.66
108-118,0,0,0.79,0,11.62,2.1,6.32,81.18,0,0,1.11,26.28,1.31,0,1.63,0.79,1.28,0,0,4.23,34.04,0.54,0.94,0,118.52,0.67,4.44,3.99,0,1.83,10.68,0,0.45,2.33,0.71,0.86,0.55,0,0.74
120,0,0,0,0,26.27,0,0,61.17,0,0,0,29.78,1.46,1.15,1.43,0,1.59,0,1.97,0,27.25,0,0,0,249.26,0,6.07,0,0,0,6.57,0,0,19.88,0,0,0,0,0
